sample,alias,SRASample,BioSample,SRAStudy,study,NCBI_taxon_ID,NCBI_taxon_name,ORFs_filenames,Assemblies_filenames
MH0001,MH0001,ERS006534,SAMEA728920,ERP000108,"Qin, J. et al. A human gut microbial gene catalogue established by metagenomic sequencing. Nature 464, 59–65 (2010).",408170,human gut metagenome,MH0001.scaftig.more500.corrected.break.fa.more100.fa,MH0001.scaftig.more500.corrected.break.fa
MH0002,MH0002,ERS006553,SAMEA728635,ERP000108,"Qin, J. et al. A human gut microbial gene catalogue established by metagenomic sequencing. Nature 464, 59–65 (2010).",408170,human gut metagenome,MH0002.scaftig.more500.corrected.break.fa.more100.fa,MH0002.scaftig.more500.corrected.break.fa
MH0003,MH0003,ERS006586,SAMEA728854,ERP000108,"Qin, J. et al. A human gut microbial gene catalogue established by metagenomic sequencing. Nature 464, 59–65 (2010).",408170,human gut metagenome,MH0003.scaftig.more500.corrected.break.fa.more100.fa,MH0003.scaftig.more500.corrected.break.fa
MH0004,MH0004,ERS006589,SAMEA728867,ERP000108,"Qin, J. et al. A human gut microbial gene catalogue established by metagenomic sequencing. Nature 464, 59–65 (2010).",408170,human gut metagenome,MH0004.scaftig.more500.corrected.break.fa.more100.fa,MH0004.scaftig.more500.corrected.break.fa
MH0005,MH0005,ERS006560,SAMEA728745,ERP000108,"Qin, J. et al. A human gut microbial gene catalogue established by metagenomic sequencing. Nature 464, 59–65 (2010).",408170,human gut metagenome,MH0005.scaftig.more500.corrected.break.fa.more100.fa,MH0005.scaftig.more500.corrected.break.fa
MH0006,MH0006,ERS006497,SAMEA728680,ERP000108,"Qin, J. et al. A human gut microbial gene catalogue established by metagenomic sequencing. Nature 464, 59–65 (2010).",408170,human gut metagenome,MH0006.scaftig.more500.corrected.break.fa.more100.fa,MH0006.scaftig.more500.corrected.break.fa
MH0007,MH0007,ERS006601,SAMEA728938,ERP000108,"Qin, J. et al. A human gut microbial gene catalogue established by metagenomic sequencing. Nature 464, 59–65 (2010).",408170,human gut metagenome,MH0007.scaftig.more500.corrected.break.fa.more100.fa,MH0007.scaftig.more500.corrected.break.fa
MH0008,MH0008,ERS006498,SAMEA728663,ERP000108,"Qin, J. et al. A human gut microbial gene catalogue established by metagenomic sequencing. Nature 464, 59–65 (2010).",408170,human gut metagenome,MH0008.scaftig.more500.corrected.break.fa.more100.fa,MH0008.scaftig.more500.corrected.break.fa
MH0009,MH0009,ERS006491,SAMEA728690,ERP000108,"Qin, J. et al. A human gut microbial gene catalogue established by metagenomic sequencing. Nature 464, 59–65 (2010).",408170,human gut metagenome,MH0009.scaftig.more500.corrected.break.fa.more100.fa,MH0009.scaftig.more500.corrected.break.fa
MH0010,MH0010,ERS006552,SAMEA728638,ERP000108,"Qin, J. et al. A human gut microbial gene catalogue established by metagenomic sequencing. Nature 464, 59–65 (2010).",408170,human gut metagenome,MH0010.scaftig.more500.corrected.break.fa.more100.fa,MH0010.scaftig.more500.corrected.break.fa
