         47230337 function calls (47095862 primitive calls) in 241.180 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  6419165   14.680    0.000   17.164    0.000 {isinstance}
4282812/4167009    8.467    0.000    9.154    0.000 {len}
    14946    7.824    0.001   18.999    0.001 _index.py:216(get_raw)
    29892    7.730    0.000   14.962    0.001 FastaIO.py:24(SimpleFastaParser)
  1581078    6.426    0.000    6.426    0.000 {method 'readline' of 'file' objects}
   233406    5.927    0.000   33.036    0.000 series.py:134(__init__)
  2757089    4.964    0.000    4.964    0.000 {method 'append' of 'list' objects}
   326782    4.734    0.000   19.942    0.000 internals.py:1804(make_block)
   140046    4.379    0.000   16.257    0.000 index.py:114(__new__)
  1200710    3.961    0.000    3.961    0.000 {numpy.core.multiarray.array}
   326782    3.855    0.000    8.743    0.000 internals.py:59(__init__)
  1858129    3.851    0.000    3.851    0.000 {issubclass}
   233406    3.741    0.000   14.119    0.000 internals.py:3035(__init__)
  1578067    3.578    0.000    3.578    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
  1256709    3.189    0.000    3.661    0.000 {getattr}
   677833    2.960    0.000    5.285    0.000 numeric.py:394(asarray)
    56022    2.704    0.000    7.814    0.000 internals.py:2004(_rebuild_blknos_and_blklocs)
93361/84025    2.689    0.000   18.653    0.000 internals.py:2129(apply)
   261105    2.615    0.000    2.615    0.000 {method 'reduce' of 'numpy.ufunc' objects}
  1287040    2.546    0.000    2.546    0.000 {method 'readline' of 'cStringIO.StringI' objects}
   214745    2.470    0.000    5.258    0.000 internals.py:1950(shape)
     9401    2.440    0.000    5.387    0.001 _index.py:186(__iter__)
  1272096    2.326    0.000    2.326    0.000 {method 'rstrip' of 'str' objects}
   121372    2.105    0.000    4.278    0.000 common.py:2165(_asarray_tuplesafe)
    93373    2.064    0.000    9.117    0.000 series.py:2397(_sanitize_array)
   267029    2.047    0.000    3.643    0.000 index.py:256(__array_finalize__)
   634899    2.020    0.000    2.787    0.000 internals.py:1952(<genexpr>)
        1    2.018    2.018  241.093  241.093 igc_pipeline.py:144(predict_operons)
    93376    1.991    0.000    5.036    0.000 common.py:1862(_possibly_infer_to_datetimelike)
   233406    1.976    0.000    3.066    0.000 series.py:263(_set_axis)
   448147    1.885    0.000    4.375    0.000 {method 'view' of 'numpy.ndarray' objects}
   326782    1.767    0.000    2.769    0.000 internals.py:108(mgr_locs)
    84031    1.729    0.000    7.665    0.000 common.py:202(_isnull_ndarraylike)
    37344    1.708    0.000   21.798    0.001 internals.py:2764(insert)
   364129    1.617    0.000    4.065    0.000 index.py:3936(_ensure_index)
   214732    1.604    0.000    2.932    0.000 index.py:698(__contains__)
   177405    1.574    0.000    1.803    0.000 {pandas.lib.infer_dtype}
   336136    1.488    0.000    2.484    0.000 common.py:58(_check)
   280101    1.479    0.000    2.134    0.000 numeric.py:1910(isscalar)
   224072    1.460    0.000    3.527    0.000 internals.py:3165(values)
   700257    1.418    0.000    1.418    0.000 internals.py:91(mgr_locs)
    65353    1.272    0.000    9.654    0.000 common.py:300(array_equivalent)
   448172    1.249    0.000    2.006    0.000 {hasattr}
   280091    1.213    0.000    1.816    0.000 internals.py:3086(_values)
   121376    1.208    0.000   11.573    0.000 common.py:132(_isnull_new)
   140044    1.127    0.000    1.711    0.000 generic.py:1812(__finalize__)
    37344    1.101    0.000    6.793    0.000 frame.py:2113(_sanitize_column)
   252084    1.086    0.000    1.086    0.000 generic.py:87(__init__)
    74695    1.079    0.000    2.174    0.000 shape_base.py:60(atleast_2d)
   248355    1.040    0.000    2.981    0.000 index.py:443(values)
    28008    1.012    0.000   12.374    0.000 generic.py:1594(reindex)
    28008    0.986    0.000    9.290    0.000 generic.py:2149(fillna)
    37344    0.984    0.000   24.876    0.001 internals.py:2656(set)
    46685    0.968    0.000   12.377    0.000 internals.py:1909(__init__)
     9336    0.953    0.000    2.043    0.000 internals.py:3799(get_mgr_concatenation_plan)
   242751    0.943    0.000    0.943    0.000 {numpy.core.multiarray.empty}
   205398    0.921    0.000    4.138    0.000 series.py:984(values)
   466826    0.916    0.000    0.916    0.000 {method 'get' of 'dict' objects}
   205401    0.911    0.000    1.562    0.000 numeric.py:464(asanyarray)
    37347    0.892    0.000    3.075    0.000 common.py:620(take_nd)
    74699    0.891    0.000    2.628    0.000 index.py:709(__getitem__)
    84024    0.871    0.000    3.798    0.000 internals.py:435(copy)
   177391    0.865    0.000    0.865    0.000 {numpy.core.multiarray.concatenate}
    37344    0.854    0.000   11.187    0.000 index.py:1795(insert)
    84025    0.805    0.000    0.805    0.000 {pandas.lib.list_to_object_array}
   267029    0.786    0.000    0.786    0.000 index.py:218(_reset_identity)
   196078    0.776    0.000    1.132    0.000 internals.py:1954(ndim)
