sample,n_cached_ORFs,runtime_sec
MH0001,21452,0.05
MH0002,75001,0.13
MH0003,112517,0.19
MH0004,35007,0.06
MH0005,23163,0.04
MH0006,218389,0.31
MH0007,43754,0.07
MH0008,46606,0.07
MH0009,73663,0.11
MH0010,44849,0.07
MH0011,102407,0.17
MH0012,233510,0.33
MH0013,38417,0.09
MH0014,116390,0.26
MH0015,41879,0.10
MH0016,85060,0.61
MH0017,42181,0.08
MH0018,19759,0.04
MH0019,42685,0.08
MH0020,71891,0.12
MH0021,65856,0.12
MH0022,26084,0.05
MH0023,31730,0.06
MH0024,40258,0.07
MH0025,86220,0.13
MH0026,62183,0.10
MH0027,28103,0.05
MH0028,90516,0.13
MH0030,48252,0.07
MH0031,42969,0.07
MH0032,37134,0.07
MH0033,73265,0.14
MH0034,10507,0.04
MH0035,69862,0.16
MH0036,54887,0.38
MH0037,56354,0.38
MH0038,58875,0.15
MH0039,65242,0.45
MH0040,83718,0.58
MH0041,74689,0.45
MH0042,42311,0.25
MH0043,71890,0.50
MH0044,75501,0.45
MH0045,56742,0.38
MH0046,52721,0.37
MH0047,41058,0.12
MH0048,45320,0.31
MH0049,44519,0.12
MH0050,77380,0.48
MH0051,54886,0.40
MH0052,71654,0.44
MH0053,74270,0.47
MH0054,81652,0.14
MH0055,73013,0.14
MH0056,49466,0.10
MH0057,46280,0.09
MH0058,78008,0.13
MH0059,104728,0.18
MH0060,74427,0.13
MH0061,57514,0.11
MH0062,75039,0.13
MH0063,53112,0.12
MH0064,50052,0.09
MH0065,47208,0.09
MH0066,71504,0.12
MH0067,74395,0.13
MH0068,59108,0.11
MH0069,89422,0.15
MH0070,75433,0.13
MH0071,68268,0.14
MH0072,24149,0.07
MH0073,56642,0.10
MH0074,66666,0.12
MH0075,68856,0.12
MH0076,67899,0.13
MH0077,73550,0.13
MH0078,32384,0.07
MH0079,53430,0.12
MH0080,76582,0.13
MH0081,76370,0.12
MH0082,78704,0.13
MH0083,90664,0.15
MH0084,25262,0.06
MH0085,61363,0.12
MH0086,117440,0.18
MH0087,48417,0.11
MH0088,131471,0.22
MH0089,108340,0.18
MH0090,116128,0.19
MH0091,106547,0.18
MH0092,153333,0.24
MH0093,83265,0.14
MH0094,135650,0.22
MH0095,97325,0.19
MH0096,113922,0.19
MH0097,101687,0.18
MH0098,137823,0.21
MH0099,121671,0.19
MH0100,159638,0.25
MH0101,102845,0.16
MH0102,135686,0.21
MH0103,102703,0.20
MH0104,135974,0.23
MH0105,72005,0.12
MH0106,121730,0.19
MH0107,114120,0.18
MH0108,105978,0.17
MH0109,89884,0.15
MH0110,80474,0.13
MH0111,131466,0.24
MH0113,116437,0.19
MH0114,74392,0.12
MH0115,124143,0.20
MH0116,147741,0.23
MH0117,115974,0.18
MH0118,121351,0.19
MH0119,125334,0.20
MH0120,95618,0.17
MH0121,80642,0.13
MH0122,104881,0.17
MH0123,136792,0.21
MH0124,140991,0.22
MH0125,121088,0.19
MH0126,139416,0.22
MH0127,99506,0.15
MH0128,87218,0.16
MH0129,123901,0.19
MH0130,78178,0.12
MH0131,171015,0.25
MH0132,131141,0.20
MH0133,93893,0.16
MH0134,89810,0.14
MH0135,104620,0.17
MH0136,117126,0.21
MH0137,112006,0.19
MH0138,50502,0.10
MH0139,120691,0.18
MH0140,146618,0.24
MH0141,126767,0.20
MH0142,136670,0.21
MH0143,158653,0.24
MH0144,173504,0.27
MH0145,167720,0.25
MH0146,88724,0.14
MH0147,149167,0.23
MH0148,168888,0.26
MH0149,132916,0.20
MH0150,162137,0.25
MH0151,96660,0.15
MH0152,79255,0.14
MH0153,126652,0.19
MH0154,125509,0.19
MH0155,98598,0.16
MH0156,74204,0.12
MH0157,124719,0.20
MH0158,108668,0.17
MH0159,122462,0.19
MH0160,110705,0.23
MH0161,175779,0.27
MH0162,150609,0.22
MH0163,110155,0.17
MH0164,66816,0.11
MH0165,137386,0.21
MH0166,60122,0.10
MH0167,82771,0.13
MH0168,113313,0.23
MH0169,147811,0.22
MH0170,132978,0.20
MH0172,133760,0.21
MH0173,112976,0.18
MH0174,151892,0.23
MH0175,118076,0.17
MH0176,150335,0.23
MH0177,107263,0.18
MH0178,96227,0.15
MH0179,71496,0.11
MH0180,104836,0.16
MH0181,137098,0.20
MH0182,104392,0.16
MH0183,174710,0.25
MH0184,138778,0.21
