sample,n_operons_predicted,runtime_sec
MH0001,15420,63.50
MH0002,52286,208.31
MH0003,81245,329.13
MH0004,25200,102.82
MH0005,16889,71.45
MH0006,157129,660.10
MH0007,32352,140.61
MH0008,33482,134.41
MH0009,54038,225.89
MH0010,32161,133.53
MH0011,74891,306.42
MH0012,161351,819.03
MH0013,26923,174.04
MH0014,84343,579.43
MH0015,31501,248.89
MH0016,63167,380.18
MH0017,30746,171.70
MH0018,14756,81.90
MH0019,30865,171.53
MH0020,52079,269.63
MH0021,49680,249.07
MH0022,19406,97.45
MH0023,23337,112.12
MH0024,28929,122.69
MH0025,66093,301.41
MH0026,44156,177.95
MH0027,21878,104.77
MH0028,66036,280.24
MH0030,34272,137.90
MH0031,31713,137.61
MH0032,28956,164.90
MH0033,53774,334.94
MH0034,7912,53.94
MH0035,49522,436.80
MH0036,40469,355.82
MH0037,41095,372.85
MH0038,42957,384.78
MH0039,49450,439.60
MH0040,60987,528.41
MH0041,53365,468.38
MH0042,32913,300.12
MH0043,53402,471.72
MH0044,55502,473.38
MH0045,40549,353.66
MH0046,40445,360.42
MH0047,29241,263.96
MH0048,34568,301.29
MH0049,31470,275.97
MH0050,57642,536.97
MH0051,42766,390.58
MH0052,54640,462.73
MH0053,53299,416.69
MH0054,57809,236.26
MH0055,53714,221.96
MH0056,37998,172.24
MH0057,32985,130.98
MH0058,57758,250.00
MH0059,77479,339.54
MH0060,53902,228.35
MH0061,41458,168.43
MH0062,53286,215.71
MH0063,39699,171.68
MH0064,37642,161.44
MH0065,35376,156.18
MH0066,53205,231.40
MH0067,54464,220.94
MH0068,42798,174.98
MH0069,62107,251.62
MH0070,57233,259.03
MH0071,50221,212.50
MH0072,18865,85.68
MH0073,40190,156.89
MH0074,48317,200.04
MH0075,51398,227.18
MH0076,49153,211.77
MH0077,51515,213.72
MH0078,24208,103.83
MH0079,38461,158.55
MH0080,56483,240.30
MH0081,55228,231.30
MH0082,56081,237.02
MH0083,66357,285.03
MH0084,18769,76.48
MH0085,44994,185.83
MH0086,84484,345.05
MH0087,32496,125.74
MH0088,94675,380.58
MH0089,78063,328.47
MH0090,83794,347.00
MH0091,77752,332.40
MH0092,111251,462.12
MH0093,59458,236.05
MH0094,96093,384.61
MH0095,69989,287.85
MH0096,82226,346.02
MH0097,72766,299.90
MH0098,98387,395.46
MH0099,86960,347.43
MH0100,114287,480.02
MH0101,73596,297.95
MH0102,99830,421.70
MH0103,75289,327.12
MH0104,99155,432.46
MH0105,51429,204.33
MH0106,88201,351.44
MH0107,80578,312.87
MH0108,75980,302.68
MH0109,65871,267.14
MH0110,58289,237.36
MH0111,92361,366.77
MH0113,86337,363.34
MH0114,53317,218.37
MH0115,87497,350.62
MH0116,108123,440.31
MH0117,83519,341.86
MH0118,89286,373.31
MH0119,91298,373.38
MH0120,68406,278.42
MH0121,55415,205.66
MH0122,72944,287.77
MH0123,96469,376.89
MH0124,99713,404.26
MH0125,85992,352.98
MH0126,100050,418.03
MH0127,69883,265.63
MH0128,60059,229.47
MH0129,89206,359.16
MH0130,56247,225.67
MH0131,120014,472.32
MH0132,94938,396.97
MH0133,64636,249.86
MH0134,63622,253.76
MH0135,73456,296.75
MH0136,84616,348.98
MH0137,79353,321.34
MH0138,37308,147.19
MH0139,85182,330.88
MH0140,105755,440.56
MH0141,91208,373.94
MH0142,97075,392.49
MH0143,110753,455.05
MH0144,123081,486.61
MH0145,121102,497.18
MH0146,60687,230.65
MH0147,108531,451.77
MH0148,121521,491.10
MH0149,97012,394.94
MH0150,112547,437.74
MH0151,70465,299.40
MH0152,57827,227.69
MH0153,94921,401.97
MH0154,92121,371.84
MH0155,70382,271.38
MH0156,53518,210.72
MH0157,92406,388.72
MH0158,78371,315.15
MH0159,88111,346.04
MH0160,79677,320.88
MH0161,127586,508.10
MH0162,104917,406.35
MH0163,79984,324.77
MH0164,49738,204.20
MH0165,98437,388.40
MH0166,42115,172.87
MH0167,60504,245.05
MH0168,82291,332.78
MH0169,107488,440.66
MH0170,93704,364.08
MH0172,98854,400.14
MH0173,82418,344.94
MH0174,109665,440.84
MH0175,85923,345.36
MH0176,106947,427.75
MH0177,76423,297.37
MH0178,70749,286.92
MH0179,49929,179.70
MH0180,73312,274.39
MH0181,96186,369.77
MH0182,73534,278.99
MH0183,125152,503.68
MH0184,100486,418.08
MH0185,99581,389.65
MH0186,59074,229.15
MH0187,112949,458.72
MH0188,138857,544.75
MH0189,121404,496.50
MH0191,136436,554.52
MH0193,130925,548.80
MH0195,126415,534.96
MH0196,163943,668.40
MH0197,138702,585.32
MH0198,145304,593.28
MH0199,131041,517.27
MH0200,146717,602.06
MH0203,190392,763.19
MH0204,153609,632.35
MH0205,116934,461.75
MH0206,181062,718.32
MH0211,134732,523.98
MH0212,117445,449.59
MH0217,126673,513.64
MH0220,167690,681.69
MH0221,50446,193.21
MH0222,142539,573.37
MH0224,136488,559.29
MH0227,104826,406.52
MH0229,146715,597.07
MH0230,114172,448.50
MH0233,84243,335.14
MH0234,121991,481.44
MH0236,79844,318.04
MH0238,137025,554.92
MH0239,115527,453.10
MH0243,91156,367.65
MH0244,106560,433.43
MH0245,139781,577.54
MH0247,135726,547.65
MH0250,193330,808.72
MH0251,127893,497.92
MH0252,182306,742.36
MH0253,165758,678.72
MH0257,132792,546.71
MH0260,115917,463.31
MH0262,119040,481.56
MH0264,80850,331.59
MH0265,118077,454.78
MH0266,123444,493.12
MH0267,150859,592.53
MH0268,132918,516.43
MH0270,132658,507.77
MH0272,163502,660.77
MH0274,123481,465.61
MH0275,130071,527.74
MH0276,171061,702.26
MH0277,39097,148.10
MH0280,164425,643.43
MH0281,111798,419.13
MH0284,128495,520.20
MH0286,111726,476.78
MH0287,133869,533.50
MH0288,142426,577.64
MH0289,117788,475.73
MH0290,110832,452.42
MH0292,90852,338.78
MH0297,92971,360.28
MH0298,124424,520.06
MH0301,108248,435.15
MH0302,68252,264.44
MH0305,91458,362.53
MH0307,150191,617.78
MH0308,139843,548.81
MH0310,108405,410.60
MH0313,103913,446.04
MH0314,122629,500.25
MH0315,127955,507.45
MH0316,148031,597.61
MH0318,172677,701.12
MH0319,129210,521.65
MH0321,102382,431.68
MH0322,120814,508.68
MH0323,127607,502.52
MH0326,139915,553.79
MH0329,146868,605.38
MH0330,153806,614.79
MH0332,70329,263.60
MH0333,85984,344.60
MH0334,103036,429.71
MH0335,74609,281.57
MH0340,132160,520.25
MH0347,93913,353.86
MH0348,96435,362.63
MH0351,83663,324.86
MH0354,97093,379.71
MH0356,134747,531.09
MH0364,133077,546.57
MH0365,115712,464.37
MH0366,99431,416.27
MH0369,121861,493.62
MH0375,91092,352.73
MH0381,139079,543.50
MH0382,129300,531.55
MH0388,113199,442.79
MH0389,143212,577.63
MH0393,90086,346.23
MH0396,130024,529.23
MH0397,141694,558.52
MH0398,154858,631.11
MH0399,176090,712.30
MH0400,105172,418.04
MH0401,82976,335.94
MH0402,160782,673.86
MH0403,147897,579.12
MH0404,125260,501.59
MH0405,124386,511.51
MH0406,150755,597.28
MH0407,155306,640.21
MH0408,184742,741.71
MH0409,144453,598.67
MH0410,117784,471.19
MH0411,147171,592.85
MH0412,159047,665.51
MH0413,149838,623.97
MH0414,81464,325.50
MH0415,166343,691.48
MH0416,165179,689.68
MH0417,172175,711.50
MH0418,143482,597.30
MH0419,134673,528.58
MH0420,97953,372.13
MH0421,124288,528.89
MH0422,168858,684.87
MH0423,90171,371.91
MH0424,118900,483.81
MH0425,118262,472.26
MH0426,131674,539.89
MH0427,69845,278.56
MH0428,139833,570.85
MH0429,133420,541.02
MH0430,139503,570.38
MH0431,137162,556.42
