tax_id,superkingdom,kingdom,phylum,class,subclass,order,family,genus,species
394,Bacteria,,Proteobacteria,Alphaproteobacteria,,Rhizobiales,Rhizobiaceae,Sinorhizobium,Sinorhizobium fredii
882,Bacteria,,Proteobacteria,Deltaproteobacteria,,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,Desulfovibrio vulgaris
883,Bacteria,,Proteobacteria,Deltaproteobacteria,,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,Desulfovibrio vulgaris
1140,Bacteria,,Cyanobacteria,,Oscillatoriophycideae,Chroococcales,,Synechococcus,Synechococcus elongatus
1148,Bacteria,,Cyanobacteria,,Oscillatoriophycideae,Chroococcales,,Synechocystis,
2110,Bacteria,,Tenericutes,Mollicutes,,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,
2850,Eukaryota,,Bacillariophyta,Bacillariophyceae,,Naviculales,Phaeodactylaceae,Phaeodactylum,
3055,Eukaryota,Viridiplantae,Chlorophyta,Chlorophyceae,,Chlamydomonadales,Chlamydomonadaceae,Chlamydomonas,
3218,Eukaryota,Viridiplantae,Streptophyta,Bryopsida,Funariidae,Funariales,Funariaceae,Physcomitrella,
3694,Eukaryota,Viridiplantae,Streptophyta,,rosids,Malpighiales,Salicaceae,Populus,
3702,Eukaryota,Viridiplantae,Streptophyta,,rosids,Brassicales,Brassicaceae,Arabidopsis,
3711,Eukaryota,Viridiplantae,Streptophyta,,rosids,Brassicales,Brassicaceae,Brassica,
3847,Eukaryota,Viridiplantae,Streptophyta,,rosids,Fabales,Fabaceae,Glycine,
4081,Eukaryota,Viridiplantae,Streptophyta,,asterids,Solanales,Solanaceae,Solanum,
4113,Eukaryota,Viridiplantae,Streptophyta,,asterids,Solanales,Solanaceae,Solanum,
4513,Eukaryota,Viridiplantae,Streptophyta,Liliopsida,commelinids,Poales,Poaceae,Hordeum,
4533,Eukaryota,Viridiplantae,Streptophyta,Liliopsida,commelinids,Poales,Poaceae,Oryza,
4538,Eukaryota,Viridiplantae,Streptophyta,Liliopsida,commelinids,Poales,Poaceae,Oryza,
