eggNOG,n,post_prob
COG1387;COG1796,1.0,0.9716959242459989
COG1288,1.0,0.5834885486820318
COG0645,2.0,0.4405757955719735
NOG148097,1.0,0.18136562306241563
NOG150117,1.0,0.1230162154029832
NOG11693,1.0,0.11586117579724496
COG3307,1.0,0.09687664009014534
COG5585,1.0,0.09394341602997318
NOG148141,1.0,0.0881495252520407
COG0577,1.0,0.07530145059470528
COG0652,2.0,0.07489806875970682
COG1305,1.0,0.07438715094844674
COG3955,9.0,0.0732090334300358
COG3301,1.0,0.057394319203938705
bactNOG60733,1.0,0.055603386750786694
NOG315680,1.0,0.055603386750786694
COG4268,2.0,0.04900303925946836
NOG69768,1.0,0.046211338693889825
COG3306,3.0,0.04566673754332625
COG1064;COG1063,2.0,0.04498179977462237
NOG118398,1.0,0.043944750557217846
NOG149552;NOG12793,2.0,0.04355215572988908
COG2202;COG5001,1.0,0.04127198798515152
COG0293,3.0,0.04115454157103785
COG0049,1.0,0.040986136897603394
COG1235,3.0,0.03840044962930409
COG3709,3.0,0.038347939340560175
NOG46179,2.0,0.037518921492232
COG2375,1.0,0.03703757381258752
NOG17447,3.0,0.03683581352334689
COG2974,1.0,0.03530352915177284
NOG43732,1.0,0.03498872265025002
NOG11085,2.0,0.033513896328787436
COG2304,4.0,0.03159438625420632
COG1262,2.0,0.0307215620579707
COG0166,1.0,0.02930105501309338
COG2606,1.0,0.02923326968474095
NOG25399,2.0,0.029171734686911643
COG4950;COG2128,1.0,0.02673449585670833
NOG269087,3.0,0.02664949938673562
COG3712,1.0,0.026568005613553578
NOG86677,1.0,0.025246956166479113
NOG41622,1.0,0.025246956166479113
NOG72232,3.0,0.023789416378645907
COG3267,2.0,0.021635124073867515
COG3504,5.0,0.02114486083263845
NOG45105,1.0,0.021052214933424972
COG0671,2.0,0.020364924929672294
COG4808,1.0,0.02035466843530682
COG3518,1.0,0.019943021449237257
COG2831,2.0,0.019844901393952355
COG1896,5.0,0.01825438077344903
COG3515,2.0,0.01766632834063994
NOG74581,1.0,0.017556016688488475
COG0827,6.0,0.01739054107305845
COG3475,1.0,0.016747105138523035
COG4518,1.0,0.016574831985157884
NOG261384,1.0,0.01620840932959478
NOG121524,3.0,0.015926784366102148
NOG77418,1.0,0.015840119023824865
bactNOG47910,1.0,0.01561821355210648
COG2906,2.0,0.015347942696357243
COG1529,1.0,0.014834888468041235
NOG76757,1.0,0.01425092063077298
COG2982,3.0,0.014221260381694342
COG0668,3.0,0.01402965055665789
NOG305119,2.0,0.013888528995240826
COG0442,1.0,0.013805226594213224
NOG43442,1.0,0.013759297445310148
bactNOG58781,1.0,0.013697542098989914
NOG284831,1.0,0.013697542098989914
COG3451,5.0,0.013550833011269239
COG3525,1.0,0.013260593016497693
COG0493,2.0,0.013259434761295012
NOG47938,1.0,0.013156642805561737
COG3700,1.0,0.013129173680821189
NOG149543,1.0,0.01276897256782838
COG3943,6.0,0.012661886284877803
NOG47352,1.0,0.012541448701392434
NOG276738,1.0,0.012307860515329084
bactNOG00347,1.0,0.012176237480662898
NOG122302,1.0,0.012127279354097522
COG5005,1.0,0.01207301038273791
NOG04329,1.0,0.012056139467520745
NOG321564,1.0,0.011945045419989246
NOG128844,4.0,0.011808987987738944
COG1574,2.0,0.011516457896331994
COG0063,3.0,0.01150651897899913
COG3189,1.0,0.011172508530106878
NOG147935;NOG238712,1.0,0.011122977165907507
NOG08582,1.0,0.010990444232318914
NOG129791,2.0,0.010978487518686695
COG2131,7.0,0.01088719482651376
COG2272,1.0,0.010755213956749733
COG4275,1.0,0.010614750748234078
