eggNOG,n,post_prob
COG1674,3.0,0.9999999984561028
COG2995,1.0,0.9484828250920521
COG1546,2.0,0.8781633000810214
NOG29913,2.0,0.8767498306625336
COG0768,3.0,0.24846390733925075
COG3077,1.0,0.12744637154452376
COG0817,1.0,0.08975948217241343
NOG99429,1.0,0.07848629940145457
COG1638,1.0,0.06718442666952526
COG0733,1.0,0.05738327332253577
NOG73098,1.0,0.05621452539136087
NOG48364,1.0,0.051210882233849175
NOG92956,1.0,0.04525974200349593
COG2860,1.0,0.042461105574460645
NOG97883,4.0,0.041458437626501865
NOG84308,1.0,0.031780061250724086
COG4275,1.0,0.027768217027450682
COG3594,1.0,0.02568404349077672
COG3409,2.0,0.020793813387183457
COG3957,1.0,0.02077367166271051
COG2310,1.0,0.02075749965974178
COG1629,1.0,0.020586189264875657
NOG04566,2.0,0.01913634577485447
NOG01333,2.0,0.018744292826373625
NOG41099,1.0,0.017013684263641964
NOG03032,2.0,0.015028115180842147
NOG116229,2.0,0.014957204409384185
COG3250,7.0,0.014622261558416996
NOG01056,2.0,0.013933200074652334
COG1737,2.0,0.01308067641076393
NOG40142,1.0,0.01285569158019984
COG0188,2.0,0.010995890712226704
NOG63031,1.0,0.010921657203691315
NOG11604,1.0,0.010861325488392366
NOG39455,1.0,0.009880181006794586
NOG140987,1.0,0.009536896242631196
NOG10930,2.0,0.009286968767341187
NOG09246,1.0,0.009112421790772277
COG3109,1.0,0.009073794877235506
NOG79248,1.0,0.009062105850222013
COG3394,1.0,0.009035659525626644
NOG02085,1.0,0.008995944683173827
NOG101860,1.0,0.008995925482873075
NOG08455,1.0,0.008995825543504324
NOG101652,1.0,0.008995822380222004
NOG56150,1.0,0.00899577665073655
COG3026,1.0,0.008995773484995412
COG1534,1.0,0.008995772757303875
NOG101231,1.0,0.008995770788095743
COG5619,1.0,0.008995769944596948
NOG84709,1.0,0.008995768695793126
NOG108646,1.0,0.008995767325794492
COG3203,1.0,0.008995767231285588
COG2369,1.0,0.008995767092878517
COG1859,1.0,0.008995767034173922
COG4669,1.0,0.008995767023110278
COG0826,1.0,0.00899576700965093
NOG37725,1.0,0.00899576698565564
NOG02696,1.0,0.008995766956756688
NOG82635,1.0,0.008995766951963783
COG4829,1.0,0.008995766930015059
COG1636,1.0,0.008995766922679588
COG1555,1.0,0.00899576690599538
COG5655,1.0,0.00899576688342874
NOG18650,1.0,0.008995766860596163
COG5628,1.0,0.008995766855113996
COG4737,1.0,0.00899576685255632
NOG03950,1.0,0.008995766849609276
COG3247,1.0,0.008995766846708334
COG1328,1.0,0.00899576684652843
COG2938,1.0,0.008995766843277167
COG0371,1.0,0.008995766842859122
NOG67307,1.0,0.008995766841032097
COG1875,1.0,0.008995766839587277
NOG139497,1.0,0.008995766838970258
NOG64130,1.0,0.008995766838290339
NOG40150,1.0,0.008995766838085138
NOG178890,1.0,0.008995766838069687
NOG104116,1.0,0.008995766838067971
COG5445,1.0,0.008995766837923745
NOG23211,1.0,0.008995766837893328
COG0742,1.0,0.00899576683782945
COG1127,1.0,0.00899576683782945
NOG148151,1.0,0.008995766837813998
NOG96192,1.0,0.008995766837813998
NOG55307,1.0,0.008995766837812334
NOG10188,1.0,0.008995766837706557
COG0636,1.0,0.00899576683765485
NOG214251,1.0,0.00899576683763175
COG3066,1.0,0.008995766837616518
NOG30349,1.0,0.008995766837616416
NOG01747,1.0,0.008995766837603399
NOG59973,1.0,0.00899576683756393
NOG22782,1.0,0.008995766837559453
COG2949,1.0,0.0089957668375319
COG4332,1.0,0.00899576683753174
NOG214521,1.0,0.008995766837530181
COG2425,1.0,0.008995766837527341
COG0630,1.0,0.00899576683752583
COG1285,1.0,0.008995766837524654
COG2357,1.0,0.008995766837506202
NOG144367,1.0,0.008995766837505737
NOG05361,1.0,0.008995766837505737
NOG38679,1.0,0.008995766837505737
NOG61713,1.0,0.008995766837501992
COG1473,1.0,0.008995766837501598
COG0260,1.0,0.008995766837501234
NOG96667,1.0,0.008995766837500847
NOG79384,1.0,0.00899576683750054
NOG03198,1.0,0.008995766837499404
COG1826,1.0,0.008995766837498151
COG3260,1.0,0.008995766837496474
NOG03600,1.0,0.008995766837494918
COG3563,1.0,0.008995766837494864
NOG213103,1.0,0.008995766837494812
COG5511,1.0,0.0089957668374948
NOG103902,1.0,0.0089957668374948
COG2830,1.0,0.008995766837494708
COG0401,1.0,0.008995766837494614
NOG14115,1.0,0.008995766837494572
NOG09733,1.0,0.008995766837494566
COG1787,1.0,0.008995766837494375
NOG79245,1.0,0.008995766837494359
COG4677,1.0,0.008995766837494352
NOG86160,1.0,0.008995766837494343
NOG125215,1.0,0.008995766837494331
COG2911,1.0,0.008995766837494314
COG0398,1.0,0.008995766837494283
COG2321,1.0,0.00899576683749428
COG4812,1.0,0.008995766837494257
NOG09905,1.0,0.00899576683749425
COG0245,1.0,0.00899576683749425
