eggNOG,n,post_prob
COG4277,5.0,0.9999999989719635
NOG14386,1.0,0.5248609223879743
NOG05704,2.0,0.40638197898456435
NOG88268,1.0,0.3854492349112276
NOG183472,3.0,0.3144941436791008
NOG25220,1.0,0.3039340157299231
NOG48872,1.0,0.2659793180317389
NOG09675,2.0,0.2624324480198284
NOG102117,4.0,0.23286868653433393
COG1828,1.0,0.21923202603518752
NOG90377,2.0,0.19206179648006802
NOG228130,1.0,0.19039293885896902
NOG212332,1.0,0.17802228990181357
NOG95554,1.0,0.16636255038743467
NOG63624,1.0,0.15858649658568008
NOG83682,1.0,0.14859895581554466
NOG24264,2.0,0.14735191296091907
NOG46045,2.0,0.14629684959517855
NOG89625,2.0,0.14619377278670304
NOG24629,1.0,0.1267371519921442
NOG95261,1.0,0.12597488984492997
NOG36906,2.0,0.12332013080695567
NOG185648,1.0,0.12274225931446923
NOG76610,1.0,0.1206483572745351
NOG197465,1.0,0.11953404951679532
NOG57867,2.0,0.11510950764875039
NOG215731,1.0,0.10884377589600217
NOG07434,2.0,0.09268670803363323
COG3428,1.0,0.09161984589232434
NOG219481,2.0,0.09159447052918461
NOG05555,1.0,0.09104437247641967
NOG46236,1.0,0.08600106698873969
NOG03778,1.0,0.08490432983046822
NOG214765,1.0,0.07717775827122754
NOG74646,1.0,0.07647910947856634
NOG09946,2.0,0.07548013469469586
NOG71601,2.0,0.07342450689765141
NOG04064,1.0,0.07201953048306632
NOG86871,2.0,0.06937537413379287
NOG50723,4.0,0.06493363725200556
COG2352,1.0,0.06403160255661956
NOG15066,1.0,0.06372936346261947
NOG80544,1.0,0.06170908500371572
NOG76457,1.0,0.06021976991388883
NOG65350,1.0,0.05915480491204875
NOG131198,1.0,0.055772030286798925
NOG221889,1.0,0.055772030286798925
COG0788,1.0,0.05528673854490373
NOG30287,2.0,0.05396880625032609
NOG00371,4.0,0.053723052790756724
NOG212276,1.0,0.05302702318027847
NOG50067,1.0,0.051428952602102916
COG2813,3.0,0.051030729217318875
NOG214887,1.0,0.050355013431289425
NOG03511,1.0,0.05008422799842439
COG1833,1.0,0.048633312110247365
NOG03353,2.0,0.04801641117653704
NOG47336,1.0,0.04764928638087009
NOG216485,1.0,0.04666375340642935
NOG12019,1.0,0.04488682973833998
COG3616,2.0,0.043949950729344545
NOG09794,1.0,0.043026703609628805
COG4473,1.0,0.042326699757020934
COG4357,1.0,0.042326699757020934
NOG00448,3.0,0.04146646450325331
NOG123094,1.0,0.04106114914540507
NOG220204,1.0,0.04077268502056806
NOG05394,1.0,0.04013142377338123
NOG05672,4.0,0.03931773149557419
NOG212587,1.0,0.03869327715539427
NOG15941,1.0,0.038157680388461186
NOG212323,3.0,0.0378418215759986
COG3735,3.0,0.036822954808893305
COG4953,3.0,0.036783230202139534
NOG221156,1.0,0.03422644989886058
COG3480,3.0,0.033680489719990846
NOG21733,1.0,0.03355220439354623
NOG69719,1.0,0.03341589695218137
NOG12038,2.0,0.03211307054901091
NOG215663,1.0,0.031475279110592044
NOG47328,2.0,0.030869303185691237
NOG13285,2.0,0.030802222504755283
NOG101900,3.0,0.030715714338894185
NOG46591,5.0,0.030451425038945237
NOG11520,1.0,0.02999482216489823
NOG98084,4.0,0.029569880803564406
NOG52954,1.0,0.028923934290052904
NOG52755,2.0,0.028787614505460517
NOG45695,1.0,0.02830597000624705
NOG59110,1.0,0.02725906471223819
NOG07870,2.0,0.026596844842400644
NOG113996,1.0,0.026551049863868623
NOG67358,1.0,0.026524524929295187
NOG86375,1.0,0.025670832093035188
NOG213132,2.0,0.02556507246695025
COG3391,1.0,0.025445654666279405
COG0699,1.0,0.024922909808474215
NOG98443,1.0,0.024800418729361066
NOG06122,2.0,0.024260754084684758
NOG21480,2.0,0.024127064890666235
NOG90278,2.0,0.023631612257530795
NOG16117,2.0,0.02279386171535352
NOG33939,2.0,0.02246918489622395
NOG138218,1.0,0.022252687780210858
NOG37025,2.0,0.022167094474624668
NOG60304,1.0,0.021734164114805415
COG2764,1.0,0.021419913008421828
COG2158,2.0,0.02109909308188535
NOG72780,1.0,0.021052214933424972
NOG219775,2.0,0.020905484856068423
NOG18650,1.0,0.020872429673997196
NOG88753,1.0,0.020764649136337854
NOG124686,1.0,0.020651078918129853
NOG46961,1.0,0.0205640609444994
NOG199814,1.0,0.0205640609444994
NOG15960,1.0,0.0205640609444994
NOG68089,3.0,0.020505914676388137
NOG02454,1.0,0.020370614841268262
COG1715,5.0,0.02029639494773624
NOG220332,1.0,0.020184036938153082
NOG59468,1.0,0.020177538711524556
NOG40679,2.0,0.0199052701723418
COG4233,1.0,0.019897913068806127
COG1123,3.0,0.01985368831143367
NOG00501,2.0,0.01951104296706306
NOG23965,1.0,0.019493148896582133
NOG35576,1.0,0.019459039331386728
NOG103709,2.0,0.019370895972611102
COG4809,1.0,0.01928053763597128
NOG01993,1.0,0.018947812389753994
COG1199,8.0,0.018798833038119245
COG2831,1.0,0.018750986893180353
NOG82883,1.0,0.018600422396840167
NOG206703,1.0,0.018357233915657925
COG0468,9.0,0.0180356190950736
NOG101510,1.0,0.017927869850212923
COG3975,1.0,0.017869691126717605
NOG84174,1.0,0.017850335363250324
COG2102,4.0,0.017595662485895797
NOG03150,1.0,0.017539637318914586
NOG03071,3.0,0.01741011229242504
NOG91629,1.0,0.017353002128405983
NOG212263,2.0,0.017287873635742513
NOG30109,1.0,0.017185954579625816
NOG117536,1.0,0.01702468561643403
NOG109692,1.0,0.016925006508466112
NOG216099,1.0,0.01687090611600768
NOG08084,1.0,0.016574831985157884
COG4386,1.0,0.016574831985157884
COG1437,3.0,0.016562023302217864
NOG84521,3.0,0.01609778332937648
COG4933,1.0,0.015858226136141452
NOG08322,1.0,0.01581099822970123
COG0026,2.0,0.015756830424754516
NOG60489,1.0,0.015355081596308636
NOG33307,1.0,0.015331573939702053
NOG05034,1.0,0.01528836886840114
NOG54218,1.0,0.015282263863089757
NOG08906,4.0,0.015103748695972993
COG3304,4.0,0.014954184341684156
NOG213185,2.0,0.014908312018356172
