eggNOG,n,post_prob
COG4277,25.0,1.0
NOG101678,9.0,0.9999999975080482
COG0468,61.0,0.9999999272457014
NOG46871,26.0,0.9966812316547009
NOG230051,1.0,0.9901169236356422
NOG12431,11.0,0.9675804786623101
NOG120983,2.0,0.9669999079663938
NOG119553,1.0,0.8429786378937278
NOG51558,3.0,0.5281019822198567
NOG07870,13.0,0.49176203603832735
NOG107076,2.0,0.42781524788643377
COG1735,2.0,0.3617202839311686
NOG63357,2.0,0.3199451561955998
NOG227552,6.0,0.31245730407356004
NOG41433,1.0,0.29285521227142475
NOG56429,4.0,0.262228722469009
NOG48872,3.0,0.24318045394919097
NOG197465,4.0,0.23286670094572812
COG1828,1.0,0.21923202603518752
NOG108253,1.0,0.20259504843408938
NOG88268,2.0,0.19864988645711681
NOG88431,4.0,0.1740570723518842
NOG43743,4.0,0.16286371621332515
NOG195292,1.0,0.1236216085900515
NOG185648,1.0,0.12274225931446923
NOG84032,6.0,0.11100149147872634
NOG69010,1.0,0.10570143597397931
NOG227116,1.0,0.10555499795675957
COG1280,6.0,0.10364947917413542
NOG219465,1.0,0.09777251843898745
NOG217038,1.0,0.09061550774781696
NOG183472,7.0,0.08833358469835594
NOG117867,3.0,0.08824743170677637
COG4502,3.0,0.08702123560322007
NOG63711,5.0,0.0825103618593489
NOG05555,3.0,0.08132368801814745
NOG187387,1.0,0.07650005280795386
NOG21584,3.0,0.0751940969099194
COG3428,3.0,0.07302768721794721
COG5418,1.0,0.06890932452893889
NOG109842,2.0,0.06884042071192455
COG2352,1.0,0.06403160255661956
NOG150882,1.0,0.0636265920084909
NOG14254,2.0,0.061937361007000986
NOG61379,5.0,0.06171373617002195
NOG76457,1.0,0.06021976991388883
NOG109395,3.0,0.056444689915832826
COG3293,7.0,0.05512811928066573
NOG78897,3.0,0.0524395924323268
NOG64777,6.0,0.05199877458246569
NOG217710,5.0,0.05186179232277882
NOG49387,1.0,0.050877001299415046
NOG122739,1.0,0.050797921877127714
NOG151228,4.0,0.0498552846658165
NOG04064,3.0,0.049523894667513044
NOG92702,9.0,0.049077126450557174
COG4283,2.0,0.048923355550999054
NOG55419,2.0,0.04872300681447091
NOG201527,1.0,0.04742325254564772
NOG156509,1.0,0.046563844098226406
NOG04191,2.0,0.04633576916354722
NOG11323,1.0,0.044113791473949934
NOG11097,1.0,0.044113791473949934
COG4357,1.0,0.042326699757020934
COG4473,1.0,0.042326699757020934
NOG216224,2.0,0.04166998155674229
NOG213963,3.0,0.04100890567166992
COG0026,2.0,0.04009336746883317
NOG43847,2.0,0.03954674814613925
NOG75724,1.0,0.03889264299277775
NOG108929,1.0,0.03883171693499003
NOG212981,2.0,0.03869669046427365
NOG212587,1.0,0.03869327715539427
COG1833,2.0,0.03864257099110931
NOG35850,1.0,0.0376421700523647
