eggNOG,n,post_prob
NOG01156,1.0,0.9745449722535527
COG2995,2.0,0.9428250403011307
NOG146528,1.0,0.9300853794506075
NOG141203,1.0,0.8124736033140668
NOG221370,2.0,0.6888400566727565
NOG213717,4.0,0.5844833054271694
NOG212218,3.0,0.4467370946886504
NOG88884,3.0,0.4458986191673821
NOG106050,1.0,0.4279714526500308
NOG192284,2.0,0.3825464263327094
NOG82533,3.0,0.37417049660378493
NOG208774,6.0,0.35272828326186706
NOG135221,1.0,0.33743579263464557
COG3734,5.0,0.32460494643825993
NOG43908,7.0,0.3173626927101776
NOG201350,3.0,0.3148292028513418
NOG20659,1.0,0.29134978392613736
NOG29913,6.0,0.2751243127538093
NOG212364,16.0,0.2540401261825579
NOG78301,4.0,0.22397216631239333
NOG145504,6.0,0.21020049516195274
NOG195645,4.0,0.20262577588679423
NOG116401,4.0,0.19025636833890455
NOG02613,1.0,0.18993706644450714
COG3629,5.0,0.18727964536411185
NOG108913,7.0,0.18147524050927313
NOG223263,1.0,0.17370811540186323
NOG212402,1.0,0.1730058258142254
NOG15900,1.0,0.16462711616363135
COG4878,2.0,0.1584873437386953
NOG43870,2.0,0.1313702232572452
NOG96272,2.0,0.10961372790772152
COG4067,7.0,0.10797668692794385
NOG67353,1.0,0.10112508817521991
NOG203299,2.0,0.09584999544912334
NOG14237,3.0,0.09450681449077479
NOG225246,2.0,0.0884399058536917
NOG215710,4.0,0.08703316331296738
NOG87042,2.0,0.07987428664001199
NOG50293,1.0,0.07848629940145457
COG3718,9.0,0.07589881746739627
NOG99429,2.0,0.07065860833612969
NOG72977,2.0,0.0638186385770641
NOG08501,5.0,0.06159244324326185
NOG102056,1.0,0.06045770433092946
NOG81643,3.0,0.05887269696666489
NOG119516,3.0,0.058639487439360066
NOG79378,5.0,0.05841014977963706
NOG05555,3.0,0.0583263071705208
NOG84173,6.0,0.05789756814092042
NOG195658,3.0,0.057763572790251336
NOG134334,5.0,0.0573689278096701
NOG73098,1.0,0.05621452539136087
NOG223603,1.0,0.05394804750103853
NOG48364,1.0,0.051210882233849175
NOG07334,1.0,0.05041763186332656
NOG84212,3.0,0.05017795852003279
NOG24185,2.0,0.049909898273932364
NOG00882,5.0,0.04841275268357136
NOG53894,2.0,0.04795432076424097
NOG128588,2.0,0.046538811818475745
NOG205162,3.0,0.04584340799737127
NOG45733,7.0,0.044837517931710064
NOG214125,5.0,0.04474497197901114
NOG03468,3.0,0.04308143333645861
NOG73875,5.0,0.038606282403645366
NOG125765,1.0,0.037877533910713336
NOG186175,1.0,0.037877533910713336
NOG89244,1.0,0.037651905748809666
NOG104553,3.0,0.03551452496274282
NOG148692,1.0,0.03507896342944352
NOG06695,6.0,0.03407894410431386
NOG117091,2.0,0.03296889311283867
NOG79223,4.0,0.03287210096748678
NOG19514,2.0,0.031994122559652005
NOG84308,1.0,0.031780061250724086
NOG44488,3.0,0.03103689857847288
NOG139063,1.0,0.029800544303117203
NOG102746,1.0,0.0297827613279639
NOG82136,3.0,0.029712120291756457
NOG211956,7.0,0.02934973741145604
NOG12036,9.0,0.028908506374148758
COG4275,1.0,0.027768217027450682
NOG69325,3.0,0.02737065222772253
NOG21285,7.0,0.026076744597153746
NOG96510,4.0,0.025687325543182926
NOG200489,1.0,0.025685984077812845
NOG124033,1.0,0.02488956118915604
NOG185648,1.0,0.02451659982434996
NOG89156,1.0,0.022878219509637088
NOG164926,4.0,0.021871813306386382
NOG101304,1.0,0.02125568599445614
NOG79078,2.0,0.020752898828327586
NOG148031,1.0,0.020486809979936293
NOG215301,4.0,0.02028579011024412
NOG224764,1.0,0.019952520686262538
NOG11135,3.0,0.01983383017527569
NOG81377,2.0,0.019565030091359847
NOG56973,6.0,0.019145652163565428
NOG26450,4.0,0.019055122265993412
NOG231669,2.0,0.019013949295750274
NOG01333,2.0,0.018744292826373625
NOG43193,5.0,0.018717321557786198
NOG101577,2.0,0.018164985534947446
NOG225531,3.0,0.018102384521141008
NOG37118,1.0,0.01785256207489502
NOG152299,8.0,0.01776819701989559
NOG210714,5.0,0.01754945534966125
NOG92497,3.0,0.017392958480459107
NOG160564,2.0,0.017184204194108012
NOG41099,1.0,0.017013684263641964
NOG08704,1.0,0.016916796641149957
NOG80921,4.0,0.01670350648205259
NOG225751,1.0,0.01602321799846896
NOG203688,3.0,0.015476714381200808
COG4064,1.0,0.0151897006070681
NOG38886,1.0,0.015133435925479943
NOG136290,2.0,0.015108501144884169
NOG106979,1.0,0.015082304574397062
NOG110836,9.0,0.015008698731788752
NOG116229,2.0,0.014957204409384185
NOG199550,2.0,0.014909867207787334
NOG215424,4.0,0.014425297303519774
NOG212027,1.0,0.014224229450071298
NOG42881,1.0,0.014079610625355376
NOG64259,3.0,0.013584130922192293
NOG225711,1.0,0.013527099453937123
NOG00738,2.0,0.013478436793307418
NOG85737,1.0,0.013426013556831687
NOG43284,3.0,0.013424003728314147
NOG221443,1.0,0.013294600177580534
NOG62004,10.0,0.013257461436840815
NOG80340,1.0,0.013210715098206446
NOG30406,2.0,0.01296030709515391
NOG111741,7.0,0.012930373570127138
NOG44115,2.0,0.012735535726300554
NOG89011,2.0,0.012735535726300554
NOG84620,1.0,0.012614638957673362
NOG157359,1.0,0.01250420064807638
NOG40683,1.0,0.012461962024888404
NOG223489,5.0,0.011960671342520787
NOG79599,1.0,0.011935593959030507
NOG87918,2.0,0.011922425103622953
NOG117715,3.0,0.011801084308250977
NOG204715,1.0,0.01177133138449628
NOG78279,3.0,0.011676893957196843
NOG195201,2.0,0.01166104318404201
NOG00475,1.0,0.01161711508152464
NOG121323,2.0,0.011603205862724664
NOG176378,1.0,0.011590432629548206
NOG11414,4.0,0.011549075173503103
NOG07852,2.0,0.011501936111993644
NOG03066,5.0,0.011457137209446642
NOG170017,4.0,0.011290398401971255
NOG83778,1.0,0.010849133907022458
NOG218738,1.0,0.010601839333770447
NOG132883,1.0,0.010587303048172281
NOG84213,8.0,0.01057251517153816
NOG138839,2.0,0.010540961036202215
NOG112230,2.0,0.010505265257389061
NOG01991,4.0,0.010491616363471453
NOG97702,1.0,0.010305587914170682
NOG103333,1.0,0.010213217047240146
NOG181341,1.0,0.010213217047240146
NOG217968,1.0,0.010213217047240146
NOG219868,1.0,0.010213217047240146
NOG71671,4.0,0.01002562898589109
NOG216697,3.0,0.009990157968011266
NOG218826,2.0,0.009973240636526534
NOG125511,2.0,0.009935890191333733
NOG64176,1.0,0.009923167586007503
NOG75151,1.0,0.009922012253042149
NOG53066,2.0,0.009832953954192548
NOG210596,1.0,0.009770716919860969
NOG230201,1.0,0.009735007187185622
NOG165704,2.0,0.00970192243168544
NOG43048,1.0,0.009693978592561114
NOG40080,6.0,0.009681367904698552
NOG150083,1.0,0.00966205686620184
NOG15370,1.0,0.009650798107621646
NOG37360,5.0,0.00958103163588679
NOG140987,1.0,0.009536896242631196
NOG227126,2.0,0.009422571916191304
NOG225919,2.0,0.009407396766861026
NOG81138,1.0,0.009262559022851174
COG4267,9.0,0.009249673786634053
NOG54638,1.0,0.009175143363140887
NOG67696,3.0,0.009174676609801593
NOG102802,1.0,0.009139617332340052
NOG105525,7.0,0.009125288681043085
NOG152475,1.0,0.009116687970136903
NOG09246,1.0,0.009112421790772277
NOG58391,2.0,0.009099168630062252
NOG115849,1.0,0.009098780874962093
COG3109,1.0,0.009073794877235506
COG3828,1.0,0.009071481074918867
NOG79248,1.0,0.009062105850222013
NOG116494,1.0,0.009054805614283906
NOG101900,8.0,0.00905102733565605
NOG110429,1.0,0.009047374384906735
NOG92747,3.0,0.009034948886787783
NOG39191,1.0,0.0090194613738527
NOG109980,1.0,0.009012222673466816
NOG219644,1.0,0.009008446295642231
NOG203100,1.0,0.009007752657524013
NOG103135,1.0,0.009007221210492208
NOG226584,1.0,0.009001479895358915
NOG110089,1.0,0.008999817972124787
NOG113721,1.0,0.008998391428497279
NOG84969,1.0,0.008998143349983724
NOG112813,1.0,0.008996919538289475
NOG151333,1.0,0.00899689598732834
NOG59616,1.0,0.008996681198090077
NOG102838,1.0,0.008996633787040381
NOG213111,1.0,0.008996131554515936
NOG114308,1.0,0.008995966450178604
NOG226644,1.0,0.008995965582237005
NOG25661,1.0,0.008995931145880934
NOG28936,1.0,0.008995907755958224
NOG23617,1.0,0.008995879622644854
NOG74398,1.0,0.008995841585205732
NOG93723,1.0,0.008995837235493248
NOG227366,1.0,0.008995833318009763
NOG195394,1.0,0.00899582880545727
NOG81494,1.0,0.008995828543079223
COG5482,1.0,0.008995827796214776
NOG101652,1.0,0.008995822380222004
NOG190322,1.0,0.008995819156616689
NOG215808,1.0,0.008995818018421625
NOG94926,1.0,0.008995812754202697
NOG110640,1.0,0.00899580416608493
NOG136337,1.0,0.008995800993218821
NOG96121,1.0,0.00899579673372259
NOG219355,1.0,0.008995794723558591
NOG57433,1.0,0.008995791998695947
NOG125493,1.0,0.008995787739358193
NOG190635,1.0,0.008995787449299898
COG4778,1.0,0.0089957856937169
NOG69868,1.0,0.0089957856937169
NOG09182,1.0,0.008995783043768454
NOG85520,1.0,0.008995782827430224
NOG50364,1.0,0.008995781438874969
NOG113534,1.0,0.008995781211034774
NOG01417,1.0,0.00899577827804509
NOG56150,1.0,0.00899577665073655
NOG120826,1.0,0.008995776430124666
NOG14671,1.0,0.008995775909784034
NOG80077,1.0,0.008995775852880408
NOG99596,1.0,0.00899577574121884
NOG153173,1.0,0.008995774428728518
NOG117115,1.0,0.008995773989937908
NOG37123,1.0,0.008995773581114037
NOG53689,1.0,0.008995773506677856
COG3026,1.0,0.008995773484995412
NOG31211,1.0,0.008995773049470085
NOG77114,1.0,0.00899577303880706
NOG180862,1.0,0.008995772105096956
NOG71646,1.0,0.008995771950965643
NOG135250,1.0,0.008995770589457566
NOG158652,1.0,0.008995770399281747
NOG98809,1.0,0.008995770356194288
NOG64514,1.0,0.008995770253337648
NOG86383,1.0,0.00899577002694232
NOG130458,1.0,0.008995769919313874
NOG39928,1.0,0.008995769575077653
COG4095,1.0,0.008995769417446498
NOG80845,1.0,0.008995769191315471
NOG86618,1.0,0.008995769130485661
NOG17863,1.0,0.008995769091814418
NOG95566,1.0,0.008995769080279725
NOG217484,1.0,0.008995769039528768
NOG06011,1.0,0.008995768984633187
NOG46351,1.0,0.008995768969071186
NOG84709,1.0,0.008995768695793126
NOG88449,1.0,0.008995768606094981
NOG211701,1.0,0.008995768493461858
NOG49382,1.0,0.008995768242159426
NOG219243,1.0,0.008995768240486812
NOG47536,1.0,0.008995768229646246
NOG38675,1.0,0.008995768229646246
NOG75137,1.0,0.00899576817396838
NOG52357,1.0,0.008995768055664466
NOG103478,1.0,0.008995768011471667
NOG114142,1.0,0.008995767943635493
NOG89223,1.0,0.008995767753371013
NOG211950,1.0,0.008995767690955685
NOG181550,1.0,0.00899576763061712
NOG92762,1.0,0.008995767512909897
NOG00001,1.0,0.00899576749328174
NOG91082,1.0,0.008995767472757918
NOG04129,1.0,0.0089957674446361
NOG94007,1.0,0.008995767437948738
NOG108646,1.0,0.008995767325794492
NOG230678,1.0,0.008995767319156385
NOG106178,1.0,0.008995767294124126
NOG82909,1.0,0.008995767258578119
NOG100922,1.0,0.008995767254949582
NOG142289,1.0,0.008995767240661657
COG3203,1.0,0.008995767231285588
NOG87044,1.0,0.008995767147257755
NOG24068,1.0,0.0089957671430591
NOG48161,1.0,0.00899576713307973
NOG28368,1.0,0.008995767117946002
NOG46909,1.0,0.008995767110346444
NOG80123,1.0,0.008995767106701438
NOG97130,1.0,0.008995767103960887
NOG223480,1.0,0.008995767096966444
NOG112847,1.0,0.008995767084817629
NOG213661,1.0,0.008995767077392998
NOG102915,1.0,0.008995767073851444
NOG06461,1.0,0.00899576705186068
NOG85382,1.0,0.008995767048837155
NOG01907,1.0,0.008995767029683762
COG4669,1.0,0.008995767023110278
NOG199820,1.0,0.008995767022655527
NOG38411,1.0,0.008995767015810953
NOG216759,1.0,0.00899576700471831
NOG06701,1.0,0.008995766997448112
COG4359,1.0,0.008995766997126418
NOG217705,1.0,0.008995766995719235
NOG49420,1.0,0.008995766992517374
NOG45834,1.0,0.008995766986095052
NOG103445,1.0,0.008995766979616683
NOG71061,1.0,0.008995766979584471
NOG81555,1.0,0.00899576697128381
NOG197560,1.0,0.008995766967507863
NOG02696,1.0,0.008995766956756688
NOG187628,1.0,0.008995766953642981
NOG157527,1.0,0.008995766953538912
NOG221095,1.0,0.008995766951178553
NOG221177,1.0,0.008995766948542382
NOG209855,1.0,0.008995766946183861
NOG54696,1.0,0.008995766942440897
NOG186326,1.0,0.008995766937900973
NOG31249,1.0,0.008995766933831535
COG4829,1.0,0.008995766930015059
NOG192224,1.0,0.008995766928833571
NOG214336,1.0,0.008995766927612487
NOG226853,1.0,0.008995766927406923
NOG98675,1.0,0.008995766926482579
NOG67038,1.0,0.008995766917431659
NOG55324,1.0,0.00899576691037813
NOG86610,1.0,0.008995766907800224
NOG50602,1.0,0.008995766907748944
NOG213296,1.0,0.008995766906964317
NOG26155,1.0,0.008995766906732624
NOG25289,1.0,0.00899576690588936
NOG186322,1.0,0.00899576690003206
NOG04765,1.0,0.008995766898240224
NOG215447,1.0,0.008995766896154918
NOG11289,1.0,0.008995766895652539
NOG53110,1.0,0.008995766895087751
NOG90581,1.0,0.008995766894783978
NOG33927,1.0,0.008995766890789627
NOG216997,1.0,0.008995766890422094
NOG06798,1.0,0.008995766889232234
NOG00655,1.0,0.008995766889180735
NOG37611,1.0,0.008995766887733408
NOG127158,1.0,0.008995766882843174
NOG31711,1.0,0.008995766882459628
NOG187255,1.0,0.008995766880405761
NOG87217,1.0,0.008995766877405444
NOG98595,1.0,0.008995766876198406
NOG204910,1.0,0.008995766875678718
NOG123111,1.0,0.008995766873505586
NOG100777,1.0,0.00899576687262522
NOG218814,1.0,0.008995766872581367
COG3058,1.0,0.00899576687193684
NOG57187,1.0,0.008995766871234151
NOG63503,1.0,0.008995766869297072
COG3042,1.0,0.008995766868249823
NOG73152,1.0,0.008995766867792541
COG1326,1.0,0.00899576686578216
NOG51320,1.0,0.008995766864534576
NOG226230,1.0,0.008995766863022014
NOG123866,1.0,0.008995766861999792
NOG38893,1.0,0.008995766861970978
NOG100026,1.0,0.008995766859261779
NOG199881,1.0,0.00899576685664443
NOG09524,1.0,0.008995766855954004
NOG94568,1.0,0.008995766855462857
NOG155129,1.0,0.008995766855397264
NOG226191,1.0,0.008995766854910148
NOG217164,1.0,0.00899576685461
NOG130977,1.0,0.008995766854397558
COG4737,1.0,0.00899576685255632
NOG188291,1.0,0.008995766851819537
NOG218043,1.0,0.008995766851188016
NOG131220,1.0,0.008995766848653351
NOG78919,1.0,0.008995766847437784
NOG218617,1.0,0.008995766847032016
NOG117241,1.0,0.008995766846301701
NOG10894,1.0,0.008995766845729596
NOG219465,1.0,0.008995766845257757
NOG214166,1.0,0.0089957668451956
NOG216492,1.0,0.008995766844993295
NOG104650,1.0,0.00899576684446476
NOG63236,1.0,0.008995766843953328
NOG227881,1.0,0.008995766843774717
NOG115898,1.0,0.008995766843280927
COG2938,1.0,0.008995766843277167
NOG193884,1.0,0.008995766843264261
NOG183633,1.0,0.008995766843240095
NOG75169,1.0,0.008995766843158583
NOG06586,1.0,0.00899576684289563
NOG137377,1.0,0.008995766842872586
NOG21481,1.0,0.008995766842837923
NOG203658,1.0,0.008995766842443227
NOG28760,1.0,0.00899576684244291
NOG88190,1.0,0.008995766841466541
NOG223851,1.0,0.008995766841322052
NOG53275,1.0,0.008995766841159504
NOG69946,1.0,0.008995766841078995
NOG69961,1.0,0.008995766841059802
NOG182996,1.0,0.008995766840883173
NOG06575,1.0,0.00899576684047335
NOG96207,1.0,0.008995766840444263
NOG102591,1.0,0.008995766840358608
NOG116891,1.0,0.008995766840356615
NOG80136,1.0,0.008995766840249563
NOG89846,1.0,0.008995766840229362
NOG145175,1.0,0.008995766840108969
NOG133830,1.0,0.008995766839984614
NOG215400,1.0,0.00899576683971011
NOG219963,1.0,0.00899576683958867
NOG227856,1.0,0.008995766839549094
NOG185793,1.0,0.008995766839439355
NOG214778,1.0,0.008995766839389123
NOG59818,1.0,0.008995766839351275
NOG225991,1.0,0.008995766839240147
NOG226828,1.0,0.008995766839174272
NOG212359,1.0,0.00899576683901838
NOG139497,1.0,0.008995766838970258
NOG231471,1.0,0.008995766838969604
NOG202417,1.0,0.008995766838904604
NOG214379,1.0,0.008995766838854904
NOG09501,1.0,0.00899576683874816
NOG130759,1.0,0.008995766838732926
NOG106876,1.0,0.008995766838719317
NOG101911,1.0,0.00899576683871486
NOG77827,1.0,0.008995766838652566
NOG50232,1.0,0.008995766838652521
NOG64245,1.0,0.008995766838527798
NOG48279,1.0,0.008995766838498164
NOG163556,1.0,0.00899576683848672
NOG92837,1.0,0.008995766838479776
NOG72134,1.0,0.008995766838478823
NOG07569,1.0,0.00899576683845468
NOG225265,1.0,0.008995766838437802
NOG60519,1.0,0.008995766838407237
NOG108337,1.0,0.008995766838407237
NOG11968,1.0,0.008995766838361815
NOG62887,1.0,0.00899576683834983
NOG192398,1.0,0.008995766838303814
NOG45772,1.0,0.008995766838290552
NOG04670,1.0,0.008995766838217085
NOG121362,1.0,0.00899576683818171
NOG108929,1.0,0.008995766838103271
NOG127092,1.0,0.008995766838090183
NOG40150,1.0,0.008995766838085138
NOG178890,1.0,0.008995766838069687
NOG30592,1.0,0.008995766838046561
NOG01021,1.0,0.008995766838033156
NOG77430,1.0,0.008995766838031114
NOG09229,1.0,0.008995766838023653
NOG43234,1.0,0.008995766838006942
NOG227803,1.0,0.008995766837996397
NOG178666,1.0,0.008995766837980718
NOG195561,1.0,0.008995766837967826
COG5445,1.0,0.008995766837923745
NOG186687,1.0,0.008995766837912537
NOG182965,1.0,0.008995766837879074
NOG213762,1.0,0.008995766837865725
NOG74450,1.0,0.008995766837860684
NOG96192,1.0,0.008995766837813998
NOG148151,1.0,0.008995766837813998
NOG55307,1.0,0.008995766837812334
NOG231506,1.0,0.008995766837797757
NOG43033,1.0,0.008995766837778104
NOG11381,1.0,0.008995766837761925
NOG214531,1.0,0.008995766837732502
NOG204346,1.0,0.0089957668377291
NOG90127,1.0,0.008995766837726854
NOG28205,1.0,0.008995766837722817
NOG231127,1.0,0.008995766837722678
NOG225666,1.0,0.00899576683770585
NOG209896,1.0,0.008995766837702543
NOG106597,1.0,0.008995766837700904
NOG132452,1.0,0.008995766837699521
NOG99376,1.0,0.008995766837685897
NOG185754,1.0,0.008995766837681633
NOG170675,1.0,0.008995766837678738
NOG203803,1.0,0.00899576683766286
NOG212997,1.0,0.008995766837661486
NOG164989,1.0,0.008995766837647414
NOG34046,1.0,0.008995766837645795
COG1483,1.0,0.00899576683764552
NOG29226,1.0,0.008995766837639568
COG2180,1.0,0.00899576683762919
NOG56737,1.0,0.008995766837611554
NOG87468,1.0,0.008995766837609154
NOG70073,1.0,0.008995766837609154
NOG212978,1.0,0.00899576683760615
NOG216202,1.0,0.00899576683759587
NOG103938,1.0,0.00899576683759238
NOG78500,1.0,0.008995766837586893
NOG105923,1.0,0.008995766837584011
NOG70728,1.0,0.008995766837582717
NOG215404,1.0,0.008995766837577811
NOG212932,1.0,0.008995766837565151
COG2150,1.0,0.008995766837563967
NOG59973,1.0,0.00899576683756393
NOG00244,1.0,0.008995766837560678
NOG09005,1.0,0.008995766837555456
NOG23517,1.0,0.008995766837552226
NOG10483,1.0,0.008995766837549726
NOG128210,1.0,0.00899576683754634
NOG32429,1.0,0.008995766837544496
NOG20301,1.0,0.008995766837539738
NOG81565,1.0,0.008995766837537666
NOG35518,1.0,0.00899576683753515
NOG212154,1.0,0.008995766837534306
NOG114317,1.0,0.008995766837533153
NOG136394,1.0,0.008995766837529067
NOG40920,1.0,0.008995766837524342
NOG168505,1.0,0.008995766837523506
NOG178462,1.0,0.008995766837522592
NOG108916,1.0,0.008995766837521285
NOG104406,1.0,0.008995766837519877
NOG114482,1.0,0.008995766837518251
NOG140400,1.0,0.008995766837517565
NOG19829,1.0,0.008995766837517096
NOG30021,1.0,0.008995766837517
NOG97964,1.0,0.008995766837516354
NOG55665,1.0,0.00899576683751543
NOG81783,1.0,0.008995766837512414
NOG119119,1.0,0.008995766837512098
NOG30602,1.0,0.0089957668375116
NOG222795,1.0,0.008995766837510641
NOG23334,1.0,0.0089957668375106
NOG49848,1.0,0.008995766837508747
NOG94975,1.0,0.00899576683750838
NOG215853,1.0,0.008995766837507592
NOG157079,1.0,0.008995766837507413
NOG44974,1.0,0.008995766837506603
NOG201588,1.0,0.008995766837506233
NOG66984,1.0,0.008995766837505904
NOG38679,1.0,0.008995766837505737
NOG144367,1.0,0.008995766837505737
NOG101515,1.0,0.00899576683750534
NOG03176,1.0,0.008995766837503989
NOG186082,1.0,0.008995766837503074
NOG61713,1.0,0.008995766837501992
NOG214390,1.0,0.008995766837501955
NOG143964,1.0,0.008995766837501777
NOG10688,1.0,0.00899576683750161
NOG80604,1.0,0.008995766837501563
NOG44960,1.0,0.008995766837501234
NOG28988,1.0,0.008995766837501137
NOG02614,1.0,0.008995766837500847
NOG96667,1.0,0.008995766837500847
NOG212341,1.0,0.008995766837500745
NOG29613,1.0,0.008995766837500283
NOG172117,1.0,0.008995766837499745
NOG224920,1.0,0.00899576683749932
NOG212636,1.0,0.008995766837498679
NOG217776,1.0,0.008995766837498599
NOG50430,1.0,0.008995766837498554
NOG220726,1.0,0.00899576683749855
NOG223002,1.0,0.008995766837498352
NOG90823,1.0,0.008995766837498144
NOG224089,1.0,0.008995766837498023
NOG100758,1.0,0.008995766837497974
NOG229119,1.0,0.008995766837497934
NOG231664,1.0,0.008995766837497662
NOG76025,1.0,0.008995766837497537
NOG120434,1.0,0.008995766837497149
NOG111654,1.0,0.00899576683749706
NOG104442,1.0,0.008995766837496977
NOG05929,1.0,0.008995766837496966
NOG108645,1.0,0.008995766837496397
NOG207341,1.0,0.008995766837496371
COG4134,1.0,0.00899576683749623
NOG32366,1.0,0.0089957668374962
COG4923,1.0,0.008995766837495861
NOG218335,1.0,0.008995766837495828
NOG112291,1.0,0.00899576683749563
