eggNOG,n,post_prob_Firmicutes,post_prob_Gamma
NOG01156,1.0,0.003897567097542723,0.9745449722535529
COG2995,2.0,0.003689468653836439,0.9428250403011308
NOG146528,1.0,0.00388006783688621,0.9300853794506077
NOG141203,1.0,0.0014939328750163048,0.8124736033140668
NOG221370,2.0,0.008286428285496198,0.6888400566727565
NOG213717,4.0,0.0002234323548779941,0.5844833054271694
NOG212218,3.0,0.002474289356262864,0.4467370946886504
NOG88884,3.0,0.0010421275369323598,0.4458986191673821
NOG106050,1.0,0.0038771484458973303,0.4279714526500308
NOG192284,2.0,0.0034255285037437,0.3825464263327094
NOG82533,3.0,0.0015793060467594858,0.3741704966037849
NOG208774,6.0,0.002575469294408855,0.35272828326186706
NOG135221,1.0,0.008877482041346814,0.3374357926346456
COG3734,5.0,0.0010670785677808926,0.32460494643825993
NOG43908,7.0,0.0008133990435460756,0.3173626927101776
NOG201350,3.0,0.0013263095898868712,0.3148292028513418
NOG20659,1.0,0.0038729145711201103,0.29134978392613736
NOG29913,6.0,0.004978571941035435,0.2751243127538093
NOG212364,16.0,8.08705341189388e-08,0.2540401261825579
NOG78301,4.0,0.002416690725519975,0.22397216631239333
NOG145504,6.0,0.0008148729352568323,0.21020049516195274
NOG195645,4.0,0.0008473987740301919,0.20262577588679426
NOG116401,4.0,0.0006147468465305763,0.19025636833890452
NOG02613,1.0,0.007341304248826344,0.18993706644450714
COG3629,5.0,0.0005622875270270663,0.18727964536411185
NOG108913,7.0,0.00016559144465379936,0.18147524050927316
NOG223263,1.0,0.003932856263439138,0.17370811540186326
NOG212402,1.0,0.006863663434985546,0.1730058258142254
NOG15900,1.0,0.004494281406461003,0.16462711616363135
COG4878,2.0,0.004127138460529525,0.1584873437386953
NOG43870,2.0,0.006946620411479314,0.1313702232572452
NOG96272,2.0,0.0025783416631535373,0.10961372790772153
COG4067,7.0,0.00016712299596430792,0.10797668692794384
NOG67353,1.0,0.008818919156126363,0.10112508817521992
NOG203299,2.0,0.003435269632063175,0.09584999544912334
NOG14237,3.0,0.002200548180603259,0.0945068144907748
NOG225246,2.0,0.003484528105596823,0.0884399058536917
NOG215710,4.0,0.000553963330918467,0.08703316331296737
NOG87042,2.0,0.0005860881129042196,0.07987428664001199
NOG50293,1.0,0.003904893311643239,0.07848629940145457
COG3718,9.0,0.00012223974212865088,0.07589881746739628
NOG99429,2.0,0.003441194242608319,0.07065860833612969
NOG72977,2.0,0.006324936377902949,0.0638186385770641
NOG08501,5.0,0.0002012724754364406,0.06159244324326185
NOG102056,1.0,0.00684221678698753,0.060457704330929465
NOG81643,3.0,0.00059074730870331,0.05887269696666489
NOG119516,3.0,0.003040925488701498,0.05863948743936007
NOG79378,5.0,0.0010745964580250516,0.058410149779637065
NOG05555,3.0,0.0725590837378725,0.0583263071705208
NOG84173,6.0,0.000399949479083429,0.057897568140920425
NOG195658,3.0,0.0004244755743662944,0.057763572790251336
NOG134334,5.0,0.0003432593015568853,0.0573689278096701
NOG73098,1.0,0.004074778874512853,0.05621452539136087
NOG223603,1.0,0.008848151397706255,0.05394804750103853
NOG48364,1.0,0.003872724663490904,0.051210882233849175
NOG07334,1.0,0.0038833512525034376,0.05041763186332656
NOG84212,3.0,0.001186969037439075,0.05017795852003279
NOG24185,2.0,0.003353729637596289,0.04990989827393237
NOG00882,5.0,0.0004523651810592966,0.04841275268357136
NOG53894,2.0,0.0039726463994712215,0.04795432076424097
NOG128588,2.0,0.0014333398502487365,0.04653881181847575
NOG205162,3.0,0.0017120041042960415,0.04584340799737127
NOG45733,7.0,0.01779539369351853,0.044837517931710064
NOG214125,5.0,0.0005499003521345424,0.04474497197901114
NOG03468,3.0,0.0010514443868922256,0.04308143333645861
NOG73875,5.0,0.0011374305818161205,0.038606282403645366
