eggNOG,n,post_prob
NOG66216,55.0,1.0
NOG101678,48.0,1.0
COG0468,459.0,1.0
COG4277,263.0,1.0
NOG19905,34.0,0.9999999824684623
NOG214357,9.0,0.9999394542953971
NOG152714,9.0,0.977652405662316
NOG46871,186.0,0.9297060478558834
NOG81098,4.0,0.7903437817528208
NOG228350,3.0,0.6793737575901331
NOG119553,2.0,0.675120352627914
NOG45254,6.0,0.6515753899612616
NOG217863,2.0,0.6420573291320958
COG2401,1.0,0.45323345028458645
NOG124389,17.0,0.43501328596862093
NOG219716,4.0,0.356105859950764
NOG230936,4.0,0.351773211708429
NOG117906,1.0,0.34754183343691086
NOG168482,2.0,0.3210723274835255
NOG128131,1.0,0.2683087188441617
NOG07107,1.0,0.2675920791073627
NOG72944,5.0,0.23815819466436225
NOG78060,3.0,0.23257092376012214
NOG38629,39.0,0.22114789566252674
NOG227116,8.0,0.22021976057679862
NOG195561,2.0,0.20093784856644364
COG1828,2.0,0.19828871344324275
NOG218262,1.0,0.194099769356854
NOG50728,5.0,0.18793571202674955
NOG55305,8.0,0.1811798701882508
NOG320444,1.0,0.1593475625547203
NOG109216,1.0,0.14887508280993295
NOG79077,10.0,0.14774331080575467
COG5293,10.0,0.11882470216503596
NOG229894,26.0,0.11106748212220584
NOG49398,2.0,0.10779907296674057
NOG02438,7.0,0.10146252706262146
NOG27929,6.0,0.10005356251581071
NOG214175,1.0,0.09884662823267615
NOG219767,2.0,0.0984847319982347
NOG10043,1.0,0.09707240206567083
NOG217038,1.0,0.09061550774781696
NOG228406,2.0,0.08848147626778795
NOG203902,2.0,0.08841094617196137
NOG226813,5.0,0.0883275723258175
NOG75115,1.0,0.08732304767336159
NOG214959,2.0,0.08423944531487748
NOG200687,2.0,0.0812496638435587
NOG220736,13.0,0.07081044626108145
NOG86090,4.0,0.06841872249307164
NOG01571,3.0,0.06634976783642049
NOG69555,25.0,0.06587098419685998
NOG69010,2.0,0.06501379032473098
NOG130691,6.0,0.0638355190282994
NOG112862,3.0,0.0637023888050673
NOG150882,1.0,0.0636265920084909
NOG68279,4.0,0.06359701845634624
NOG84026,1.0,0.06211627102070096
NOG119915,1.0,0.06206787328076108
NOG72175,2.0,0.0616335167958585
NOG39628,2.0,0.054172550650429745
NOG163083,1.0,0.05155006874732405
NOG163030,1.0,0.0513272158958961
NOG214474,1.0,0.0509882977126848
NOG08595,2.0,0.05008590693581717
NOG231298,3.0,0.04853184290625321
NOG119552,3.0,0.048053818823903624
NOG77495,4.0,0.04667167779574663
NOG07619,3.0,0.04660176670723861
NOG156509,1.0,0.046563844098226406
NOG39449,3.0,0.045448730003358376
COG4467,6.0,0.045333995406696866
NOG49387,2.0,0.045272998378583645
NOG212246,1.0,0.04526740299086744
NOG139174,1.0,0.04433462096910915
NOG45798,7.0,0.044141878852930375
NOG227902,1.0,0.04410500095409089
NOG61617,1.0,0.043650201015686146
NOG74366,5.0,0.04327632568091908
NOG187387,2.0,0.04161914296210634
NOG119820,2.0,0.040918128033217316
NOG100688,3.0,0.04066799440277294
NOG46501,5.0,0.040448120099305936
NOG121323,4.0,0.040352867595702474
NOG22670,1.0,0.03990525734224381
NOG42473,1.0,0.038300720806897684
NOG214132,4.0,0.03715442112633617
NOG209531,1.0,0.036974334271149
