eggNOG,n,post_prob
COG4277,19.0,1.0
COG0468,46.0,0.9999971645433778
NOG46871,12.0,0.99481856557362
NOG119553,1.0,0.8429786378937278
NOG101678,5.0,0.8116264711264074
NOG07870,6.0,0.7453708159503876
COG1735,1.0,0.5954748968882768
NOG227552,3.0,0.5744495469297771
NOG183472,2.0,0.34319470937228586
NOG56429,2.0,0.3113067455628229
NOG61379,3.0,0.30650494684512924
NOG48872,2.0,0.265978933164951
COG1828,1.0,0.21923202603518752
NOG63711,3.0,0.20906629672234145
NOG108253,1.0,0.20259504843408938
NOG88268,2.0,0.19864988645711681
COG0699,8.0,0.19784293562687444
COG4502,2.0,0.19493478307465706
NOG117867,2.0,0.17037347872361963
NOG40276,8.0,0.16105373373529006
COG2135,8.0,0.13255938325227612
COG5518,1.0,0.13226470850252364
COG1280,4.0,0.12857953493990334
NOG109842,1.0,0.1251865200743888
NOG185648,1.0,0.12274225931446923
NOG197465,1.0,0.11953404951679532
NOG92702,6.0,0.11600069990424657
COG3294,2.0,0.112515116534912
NOG215166,1.0,0.11223501820343199
NOG69010,1.0,0.10570143597397931
COG0026,1.0,0.09753626908257132
NOG120983,1.0,0.09668675378603149
COG3293,5.0,0.09301606136472149
COG3428,1.0,0.09161984589232434
NOG217038,1.0,0.09061550774781696
NOG21584,2.0,0.08424869055481414
NOG04064,1.0,0.07201953048306632
COG5418,1.0,0.06890932452893889
NOG93649,3.0,0.0675759333249619
NOG78897,1.0,0.06595747056135293
NOG150882,1.0,0.0636265920084909
NOG14254,2.0,0.061937361007000986
NOG65350,1.0,0.05915480491204875
NOG106781,4.0,0.0588091877251592
NOG151228,3.0,0.056220471468427
NOG30287,2.0,0.05396880625032609
NOG49387,1.0,0.050877001299415046
NOG122739,1.0,0.050797921877127714
COG1833,1.0,0.048633312110247365
NOG201527,1.0,0.04742325254564772
NOG156509,1.0,0.046563844098226406
NOG225142,2.0,0.04581349621989821
COG1607,12.0,0.04523040427671035
COG3616,2.0,0.043949950729344545
NOG212981,1.0,0.04370268270502679
COG4605,4.0,0.043511672814451535
COG4473,1.0,0.042326699757020934
NOG213963,3.0,0.04100890567166992
NOG75724,1.0,0.03889264299277775
NOG45733,4.0,0.03878978527674878
NOG212587,1.0,0.03869327715539427
NOG31033,3.0,0.03836180839442426
COG2368,2.0,0.03406639455992489
NOG27756,8.0,0.03279215080658681
NOG67051,1.0,0.030626436014255718
NOG43512,1.0,0.030344697078723264
NOG15941,3.0,0.029958055783665945
NOG52954,1.0,0.028923934290052904
NOG93106,1.0,0.028743667472886467
NOG139789,2.0,0.027656808974462346
NOG114453,2.0,0.0273889935924945
NOG12431,6.0,0.026951203422118916
NOG19106,1.0,0.026411266609429458
COG4783,2.0,0.025922717877797544
NOG217360,1.0,0.02577392200038097
NOG05672,5.0,0.025728607587824453
NOG102849,1.0,0.02556992663276113
COG1715,14.0,0.023913600674435393
NOG75763,3.0,0.023844267560219345
NOG99801,1.0,0.02380968221405135
NOG55539,6.0,0.02368908963885322
NOG65486,2.0,0.023645578177659506
NOG41554,2.0,0.023449962366254015
NOG213901,2.0,0.023385677306286597
NOG221505,2.0,0.02283246494235302
NOG216485,2.0,0.022495848935585306
NOG214364,1.0,0.02237365644279148
NOG195369,1.0,0.021517064104226626
COG1767,4.0,0.021373242623000662
NOG212382,1.0,0.021272785361050445
NOG22124,2.0,0.021067558708586207
NOG104903,1.0,0.020994058432329342
NOG216901,1.0,0.020950493839285326
NOG69343,3.0,0.020885893303081132
NOG18650,1.0,0.020872429673997196
COG4296,3.0,0.020819138052815055
NOG217710,5.0,0.020598100256172557
NOG05601,3.0,0.020572471731964737
NOG89831,2.0,0.020315579454052646
NOG220332,1.0,0.020184036938153082
NOG84174,1.0,0.020084440963482837
NOG80115,2.0,0.019134754778207867
NOG38629,5.0,0.01848219297999194
NOG32012,3.0,0.018347261720385817
NOG104914,4.0,0.0181007482253613
NOG50641,1.0,0.017970357701862123
NOG141592,1.0,0.017898042548315583
COG4925,2.0,0.017694043886247554
COG4604,2.0,0.017379331010904994
COG3585,2.0,0.017250539861972225
NOG101763,2.0,0.017097566600004076
NOG216099,1.0,0.01687090611600768
NOG01993,2.0,0.01683830689875962
NOG230324,1.0,0.01622517198789384
NOG220464,1.0,0.01604632017805049
NOG213201,2.0,0.015851924522142395
NOG08322,1.0,0.01581099822970123
NOG04896,1.0,0.015746070962468377
NOG89160,1.0,0.015647790347873662
NOG217561,4.0,0.01562274916449104
NOG80833,1.0,0.015564141943217466
NOG60489,1.0,0.015355081596308636
NOG83896,1.0,0.015294100992452923
NOG110331,1.0,0.015214683672742667
NOG32225,1.0,0.015192708081751972
NOG220590,1.0,0.014956985515923091
