,ORFs,genes,genes+has_cog,operons,operons+head_complete,operons+full_promoter,operons+head_complete+full_promoter,ORFs+head_complete+full_promoter,genes+head_complete+full_promoter,genes+has_cog+head_complete+full_promoter
MH0001,15420,4251,2425,15420,11627,5134,4091,6616,2145,1285
MH0002,52286,17889,8994,52286,39058,19748,15697,25398,9338,4819
MH0003,81245,24260,13658,81245,59740,27499,21294,32887,12325,7271
MH0004,25200,8961,4430,25200,19202,8610,7051,11249,5351,2706
MH0005,16889,5040,3225,16889,12475,4794,3742,5810,2397,1557
MH0006,157129,57553,35180,157129,116027,49431,39005,61711,27905,17910
MH0007,32352,4044,2084,32352,23152,8088,5855,9006,1715,855
MH0008,33482,6515,3329,33482,24867,11589,9109,14691,3269,1646
MH0009,54038,16673,8865,54038,39802,16849,13156,20323,8222,4683
MH0010,32161,5286,2398,32161,23964,10547,8379,13282,2283,1131
MH0011,74891,25051,14476,74891,55256,25725,20228,30543,14277,8714
MH0012,161351,64762,38454,161351,122351,62115,50255,81372,33094,20259
MH0013,26923,8654,4477,26923,20200,9981,8060,12844,4710,2335
MH0014,84343,12798,5767,84343,61392,27250,20906,31916,6070,2637
MH0015,31501,2935,1667,31501,22421,7175,5206,7474,539,264
MH0016,63167,11167,6480,63167,45373,20151,15211,22527,5769,3548
MH0017,30746,3260,1522,30746,22227,8425,6417,10027,1239,554
MH0018,14756,2623,1091,14756,10937,4394,3460,5236,1092,437
MH0019,30865,2565,1142,30865,22736,9283,7202,11012,968,461
MH0020,52079,7174,3154,52079,38096,18588,14385,21866,3554,1528
MH0021,49680,6039,2794,49680,35382,14503,10777,15846,2927,1493
MH0022,19406,2960,1391,19406,14356,5528,4412,6523,1358,734
MH0023,23337,3710,1602,23337,16834,6135,4575,6897,1591,674
MH0024,28929,4264,1654,28929,21536,10586,8330,13272,2323,967
MH0025,66093,11560,5270,66093,46695,16835,12171,17234,4222,1870
MH0026,44156,7765,3731,44156,32471,16107,12482,19770,4118,2097
MH0027,21878,1069,371,21878,15574,4014,2853,3960,260,63
MH0028,66036,8857,3906,66036,48121,20556,15830,24042,3604,1576
MH0030,34272,9878,4798,34272,25483,12566,9921,15663,5231,2660
MH0031,31713,10405,4527,31713,23239,9579,7365,11501,3846,1669
MH0032,28956,2405,994,28956,20461,7408,5288,7163,846,351
MH0033,53774,4802,1853,53774,38556,16373,12296,18908,2136,830
MH0034,7912,1173,379,7912,5796,2301,1763,2546,339,105
MH0035,49522,12393,6620,49522,36491,17882,13981,22510,6320,3581
MH0036,40469,4621,1940,40469,29008,11820,8666,13202,1806,806
MH0037,41095,9170,4467,41095,29874,14022,10720,16277,3815,1811
MH0038,42957,7355,3736,42957,30909,13323,10034,15608,3641,1971
MH0039,49450,4086,1544,49450,35397,13954,10463,15647,1650,598
MH0040,60987,10487,5021,60987,44248,17617,13313,20079,3650,1724
MH0041,53365,7780,2977,53365,39426,19433,15146,23923,3579,1349
MH0042,32913,2372,696,32913,22859,7454,5276,7292,742,170
MH0043,53402,6395,2869,53402,38537,16314,12249,17989,2495,1191
MH0044,55502,7051,3710,55502,39572,16854,12423,18631,2950,1675
MH0045,40549,4269,2166,40549,30524,15008,11949,18904,2136,1173
MH0046,40445,6950,3338,40445,28919,10978,8014,11293,2726,1422
MH0047,29241,14518,8251,29241,21877,11201,8956,13816,7003,4048
MH0048,34568,2932,973,34568,24389,8697,6215,9020,1133,397
MH0049,31470,2619,729,31470,23389,12084,9554,14853,1360,385
MH0050,57642,7224,2893,57642,41861,17092,13019,19282,2939,1192
MH0051,42766,3164,1173,42766,29599,9547,6566,9201,979,331
MH0052,54640,8398,3824,54640,38783,13285,9582,13537,2905,1320
MH0053,53299,17456,9680,53299,39620,17514,13817,21400,7691,4613
MH0054,57809,11558,5972,57809,43163,20308,16170,25512,5144,2686
MH0055,53714,15201,8791,53714,38864,17934,13644,20347,6248,3862
MH0056,37998,2996,1059,37998,26980,9010,6544,9307,828,289
MH0057,32985,8968,5420,32985,25042,13878,11380,17580,6244,3955
MH0058,57758,4360,1866,57758,41892,17851,13622,20595,1891,850
MH0059,77479,8075,3425,77479,55252,21439,15865,24077,2814,1170
MH0060,53902,7604,4137,53902,39671,16829,13085,20003,3271,1919
MH0061,41458,4668,1988,41458,30320,14664,11293,17156,1881,806
MH0062,53286,7052,3683,53286,39393,18905,14750,23253,2901,1614
MH0063,39699,6013,2345,39699,28650,11501,8646,13018,2039,761
MH0064,37642,4436,2018,37642,27109,11086,8342,12120,1916,950
MH0065,35376,9216,4192,35376,25878,9800,7579,11441,3944,1793
MH0066,53205,8093,3920,53205,38581,14420,10864,16481,2811,1291
MH0067,54464,5212,2324,54464,39795,19390,14878,22319,2297,1129
MH0068,42798,4688,1901,42798,32145,15625,12603,19544,2401,908
MH0069,62107,13200,7498,62107,47040,23006,18624,30884,6453,3819
MH0070,57233,7110,3009,57233,40343,14513,10488,15452,2213,930
MH0071,50221,5942,3073,50221,36356,15914,12078,18042,2582,1473
MH0072,18865,747,244,18865,13025,4268,2922,3913,168,50
MH0073,40190,3072,1232,40190,30371,16030,12761,19878,1413,549
MH0074,48317,4991,2168,48317,35666,17346,13644,20809,2362,1113
MH0075,51398,3378,1188,51398,37053,14287,10560,15901,1159,397
MH0076,49153,4590,1560,49153,35884,14853,11257,17393,1741,502
MH0077,51515,14347,6736,51515,38182,18252,14428,23403,5280,2311
MH0078,24208,2569,858,24208,17377,7139,5315,7668,1100,349
MH0079,38461,11892,6161,38461,28308,13233,10198,15991,5965,3174
MH0080,56483,5299,2216,56483,40824,16772,12652,19193,1848,807
MH0081,55228,6133,2712,55228,40445,17998,13885,21593,1781,677
MH0082,56081,9613,3978,56081,41445,19043,14902,24053,3302,1363
MH0083,66357,6964,3460,66357,48319,20631,15807,24599,2915,1516
MH0084,18769,1756,697,18769,13821,6571,5164,7490,614,245
MH0085,44994,3468,1183,44994,33194,15237,11911,18155,1381,481
MH0086,84484,14934,8847,84484,61814,29338,22536,34699,6422,4000
MH0087,32496,5806,3690,32496,25890,16392,14026,23145,3000,2009
MH0088,94675,21678,11744,94675,67866,33517,24761,37850,8551,4410
MH0089,78063,6929,3093,78063,57865,26204,20518,32695,3061,1421
MH0090,83794,12056,5993,83794,61138,28913,21911,34478,5415,2848
MH0091,77752,7209,2835,77752,56641,23686,18011,27872,2767,1151
MH0092,111251,14017,7113,111251,81457,37171,28689,44007,5139,2494
MH0093,59458,5772,2522,59458,44689,24409,19592,30663,2859,1279
MH0094,96093,8744,3488,96093,70948,36248,28261,44427,3996,1547
MH0095,69989,8165,3513,69989,51819,25945,20187,31187,3802,1671
MH0096,82226,27445,13339,82226,60731,29449,22974,36410,10699,5298
MH0097,72766,14046,6339,72766,53927,27699,21824,33831,6775,3027
MH0098,98387,14386,6448,98387,73069,37781,29680,46764,7022,3217
MH0099,86960,9019,3577,86960,63523,31999,24355,37887,4060,1597
MH0100,114287,22105,10122,114287,83791,38564,29727,46851,8919,4153
MH0101,73596,26135,14329,73596,53981,27710,21334,33287,12306,6857
MH0102,99830,13011,5923,99830,71833,31586,23685,36075,5739,2679
MH0103,75289,6074,2220,75289,54774,23616,18071,27764,2272,867
MH0104,99155,17605,8281,99155,72651,31359,24203,37944,6863,3236
MH0105,51429,4960,1815,51429,38044,19227,15059,23458,2255,718
MH0106,88201,7456,3216,88201,64497,31674,24180,36476,3165,1422
MH0107,80578,14011,6795,80578,60220,32713,25858,41200,8073,4272
MH0108,75980,9790,5467,75980,57180,27915,22403,34497,4740,2730
MH0109,65871,3895,1574,65871,47802,23320,17851,27187,1630,671
MH0110,58289,5394,2361,58289,43363,21938,17321,27097,1838,789
MH0111,92361,13748,6820,92361,68923,34614,27052,43250,6081,3095
MH0113,86337,12109,5375,86337,62146,26149,19529,29599,5022,2245
MH0114,53317,3657,1108,53317,39107,18223,14144,22299,1565,450
MH0115,87497,8193,3313,87497,65048,31964,25243,40946,3852,1674
MH0116,108123,10210,4355,108123,78464,36927,28170,42772,4673,2070
MH0117,83519,13518,5652,83519,61463,29250,22463,35223,5028,2248
MH0118,89286,14749,7377,89286,65335,29076,22071,33689,6512,3344
MH0119,91298,7877,3982,91298,66757,30850,23905,36501,3527,1914
MH0120,68406,10696,4451,68406,51512,24764,19733,31756,4300,1761
MH0121,55415,3066,1029,55415,41655,23847,19041,30283,1343,463
MH0122,72944,7487,4330,72944,54983,28777,23026,37098,3222,1932
MH0123,96469,6321,2347,96469,71973,37919,29768,46970,2746,1020
MH0124,99713,21683,11110,99713,73875,34772,27383,44117,10550,5809
MH0125,85992,7715,2626,85992,64176,30170,24176,38867,3853,1228
MH0126,100050,28505,14778,100050,73900,32715,25548,39857,12308,6736
MH0127,69883,7725,3786,69883,52987,29037,23276,37045,2773,1359
MH0128,60059,8547,3420,60059,46288,25438,21084,34296,2875,1102
MH0129,89206,10067,4316,89206,65809,30847,23937,37246,3298,1333
MH0130,56247,10955,5457,56247,41832,20069,15708,24617,4618,2471
MH0131,120014,27754,15765,120014,89328,43841,34517,54962,10439,6038
MH0132,94938,13501,5895,94938,70109,30425,23524,36830,4782,2051
MH0133,64636,5323,1963,64636,49408,27075,21951,35904,2349,805
MH0134,63622,4211,1608,63622,47579,25289,20136,32202,2000,747
MH0135,73456,7668,3725,73456,55772,27606,22329,35800,3057,1390
MH0136,84616,4983,1923,84616,63235,29914,23674,37291,1887,777
MH0137,79353,8197,3753,79353,59830,30154,23972,37545,3896,1845
MH0138,37308,9112,4647,37308,28190,14114,11269,16528,3446,1655
MH0139,85182,6616,2396,85182,64271,34356,27550,43886,3044,1078
MH0140,105755,11632,5421,105755,78148,37955,29754,47087,4795,2126
MH0141,91208,16156,7310,91208,67796,32979,26070,41177,8173,3852
MH0142,97075,13183,6206,97075,72429,37029,29360,46879,4467,2194
MH0143,110753,37601,19202,110753,82944,39162,31201,51439,15708,8568
MH0144,123081,16225,7294,123081,91186,46846,36509,57925,7070,3223
MH0145,121102,17545,8085,121102,89610,41631,32352,50167,7591,3816
MH0146,60687,3827,1308,60687,46571,28565,23305,37945,1760,562
MH0147,108531,12125,6057,108531,80773,36143,28533,44901,4429,2158
MH0148,121521,12055,5727,121521,88816,42999,33169,52175,5003,2452
MH0149,97012,16404,8472,97012,70318,32553,24877,37792,7485,4287
MH0150,112547,13225,7255,112547,85853,47953,38831,61911,5143,2912
MH0151,70465,10489,4339,70465,51179,23160,17735,27836,4004,1600
MH0152,57827,10551,4947,57827,42992,20580,15997,24296,4578,2131
MH0153,94921,10381,4538,94921,68553,27519,20925,31442,2881,1213
MH0154,92121,9169,2922,92121,67558,31204,24025,36742,3554,987
MH0155,70382,3086,950,70382,52456,26294,20711,32345,1292,394
