gene_id,gene_name,gene_length,completeness,cohort_origin,phylum,genus,kegg,eggNOG,sample_freq,individual_freq,eggNOG_funccat,kegg_funccat,cohort_assembled
157922,V1.CD20-0_GL0025084,2820,Complete,EUR,unknown,unknown,K03553,COG0468,0.0142067876874507,0.0149532710280374,Replication and Repair,"Replication, recombination and repair",EUR;CHN
281051,N022A_GL0073376,2343,Complete,CHN,Proteobacteria,Escherichia,K03553,COG0468,0.0520915548539858,0.0588785046728972,Replication and Repair,"Replication, recombination and repair",CHN
282183,NOM005_GL0035012,2340,Complete,CHN,Proteobacteria,Escherichia,K03553,COG0468,0.0292028413575375,0.0327102803738318,Replication and Repair,"Replication, recombination and repair",CHN
319710,MH0134_GL0018003,2241,Complete,EUR,unknown,unknown,K03553,COG0468,0.0276243093922652,0.0233644859813084,Replication and Repair,"Replication, recombination and repair",EUR
441883,MH0004_GL0028986,1998,Complete,EUR,unknown,unknown,K03553,COG0468,0.0378847671665351,0.0448598130841121,Replication and Repair,"Replication, recombination and repair",EUR;CHN
464730,158944319-stool1_revised_scaffold29530_2_gene39216,1965,Lack 3'-end,USA,unknown,unknown,K03553,COG0468,0.0039463299131807395,0.00373831775700935,Replication and Repair,"Replication, recombination and repair",EUR;USA
524383,159227541-stool2_revised_scaffold24482_2_gene100240,1881,Complete,USA,unknown,unknown,K03553,COG0468,0.00947119179163378,0.007476635514018691,Replication and Repair,"Replication, recombination and repair",USA
529475,MH0180_GL0087319,1872,Complete,EUR,unknown,unknown,K03553,COG0468,0.00473559589581689,0.00560747663551402,Replication and Repair,"Replication, recombination and repair",EUR;CHN
763838,ED16A_GL0050691,1632,Lack 5'-end,CHN,unknown,unknown,K03553,COG0468,0.7142857142857142,0.7121495327102799,Replication and Repair,"Replication, recombination and repair",EUR;CHN;USA
870970,MH0428_GL0042293,1545,Complete,EUR,unknown,unknown,K03553,COG0468,0.0015785319652723,0.00186915887850467,Replication and Repair,"Replication, recombination and repair",EUR
888635,MH0299_GL0001009,1533,Complete,EUR,unknown,unknown,K03553,COG0468,0.0181531176006314,0.0214953271028037,Replication and Repair,"Replication, recombination and repair",EUR;CHN
943251,MH0006_GL0075563,1497,Complete,EUR,unknown,unknown,K03553,COG0468,0.00947119179163378,0.0102803738317757,Replication and Repair,"Replication, recombination and repair",EUR
1095324,MH0245_GL0039513,1413,Complete,EUR,unknown,unknown,K03553,COG0468,0.00236779794790845,0.0009345794392523359,Replication and Repair,"Replication, recombination and repair",EUR
1102007,MH0343_GL0121973,1410,Complete,EUR,unknown,unknown,K03553,COG0468,0.0007892659826361481,0.0009345794392523359,Replication and Repair,"Replication, recombination and repair",EUR
1113045,MH0101_GL0090164,1404,Complete,EUR,unknown,unknown,K03553,COG0468,0.00315706393054459,0.00373831775700935,Replication and Repair,"Replication, recombination and repair",EUR;CHN
1130134,V1.UC39-4_GL0013352,1398,Complete,EUR,unknown,unknown,K03553,COG0468,0.0007892659826361481,0.0,Replication and Repair,"Replication, recombination and repair",EUR
1154368,MH0366_GL0120689,1386,Lack both ends,EUR,unknown,unknown,K03553,COG0468,0.33543804262036303,0.352336448598131,Replication and Repair,"Replication, recombination and repair",EUR;CHN;USA
1163768,NOM022_GL0018595,1383,Complete,CHN,unknown,unknown,K03553,COG0468,0.0015785319652723,0.00186915887850467,Replication and Repair,"Replication, recombination and repair",CHN
1189721,O2.UC1-2_GL0083366,1371,Complete,EUR,unknown,unknown,K03553,COG0468,0.0015785319652723,0.0,Replication and Repair,"Replication, recombination and repair",EUR
1227594,NLF006_GL0006292,1356,Lack 3'-end,CHN,Firmicutes,Faecalibacterium,K03553,COG0468,0.8484609313338589,0.857009345794392,Replication and Repair,"Replication, recombination and repair",EUR;CHN;USA
1229111,473819.BIFDEN_01744,1356,Complete,SP,Actinobacteria,Bifidobacterium,K03553,COG0468,0.0899763220205209,0.08878504672897199,Replication and Repair,"Replication, recombination and repair",EUR
1331229,T2D-33A_GL0022092,1314,Complete,CHN,Firmicutes,unknown,K03553,COG0468,0.0134175217048145,0.0158878504672897,Replication and Repair,"Replication, recombination and repair",EUR;CHN
1349629,MH0293_GL0108082,1305,Complete,EUR,Firmicutes,unknown,K03553,COG0468,0.7150749802683499,0.714953271028037,Replication and Repair,"Replication, recombination and repair",EUR;CHN;USA
1380512,MH0298_GL0006055,1293,Lack 3'-end,EUR,Firmicutes,Faecalibacterium,K03553,COG0468,0.713496448303078,0.7102803738317759,Replication and Repair,"Replication, recombination and repair",EUR;CHN;USA
1381451,MH0402_GL0076704,1293,Complete,EUR,unknown,unknown,K03553,COG0468,0.0978689818468824,0.104672897196262,Replication and Repair,"Replication, recombination and repair",EUR;CHN;USA
1413505,MH0301_GL0109454,1281,Complete,EUR,Firmicutes,Roseburia,K03553,COG0468,0.645619573796369,0.64018691588785,Replication and Repair,"Replication, recombination and repair",EUR;CHN;USA
1417787,SZEY-10A_GL0080423,1281,Lack 5'-end,CHN,Actinobacteria,Bifidobacterium,K03553,COG0468,0.037095501183899,0.0345794392523364,Replication and Repair,"Replication, recombination and repair",EUR;CHN
1421211,MH0212_GL0004145,1278,Complete,EUR,unknown,unknown,K03553,COG0468,0.13496448303078099,0.13551401869158902,Replication and Repair,"Replication, recombination and repair",EUR;USA
1426729,160400887-stool1_revised_scaffold34742_1_gene208017,1278,Complete,USA,unknown,unknown,K03553,COG0468,0.0126282557221784,0.0130841121495327,Replication and Repair,"Replication, recombination and repair",EUR;CHN;USA
1429488,MH0229_GL0172406,1275,Complete,EUR,unknown,unknown,K03553,COG0468,0.4506708760852411,0.44485981308411204,Replication and Repair,"Replication, recombination and repair",EUR;CHN;USA
1433428,V1.UC11-5_GL0122773,1275,Complete,EUR,unknown,unknown,K03553,COG0468,0.0181531176006314,0.0130841121495327,Replication and Repair,"Replication, recombination and repair",EUR
1439932,MH0429_GL0049304,1272,Complete,EUR,unknown,unknown,K03553,COG0468,0.0118389897395422,0.0130841121495327,Replication and Repair,"Replication, recombination and repair",EUR;USA
1444173,525337.HMPREF0530_0226,1272,Complete,SP,Firmicutes,Lactobacillus,K03553,COG0468,0.0441988950276243,0.0373831775700935,Replication and Repair,"Replication, recombination and repair",EUR
1446095,MH0189_GL0068354,1269,Complete,EUR,Spirochaetes,Treponema,K03553,COG0468,0.0007892659826361481,0.0009345794392523359,Replication and Repair,"Replication, recombination and repair",EUR
1461468,MH0040_GL0024854,1263,Complete,EUR,Firmicutes,Eubacterium,K03553,COG0468,0.14759273875295997,0.145794392523364,Replication and Repair,"Replication, recombination and repair",EUR
1469185,MH0002_GL0070801,1260,Complete,EUR,Firmicutes,Eubacterium,K03553,COG0468,0.468823993685872,0.460747663551402,Replication and Repair,"Replication, recombination and repair",EUR;CHN;USA
1469275,MH0006_GL0171985,1260,Complete,EUR,unknown,unknown,K03553,COG0468,0.0228887134964483,0.0252336448598131,Replication and Repair,"Replication, recombination and repair",EUR
1469830,MH0076_GL0004403,1260,Complete,EUR,unknown,unknown,K03553,COG0468,0.00315706393054459,0.00373831775700935,Replication and Repair,"Replication, recombination and repair",EUR
1475528,NOF008_GL0084693,1260,Complete,CHN,unknown,unknown,K03553,COG0468,0.0015785319652723,0.00186915887850467,Replication and Repair,"Replication, recombination and repair",CHN
1478245,MH0107_GL0069764,1257,Complete,EUR,Firmicutes,Eubacterium,K03553,COG0468,0.25966850828729304,0.26542056074766396,Replication and Repair,"Replication, recombination and repair",EUR;CHN
1478875,MH0188_GL0052267,1257,Complete,EUR,Actinobacteria,Bifidobacterium,K03553,COG0468,0.647198105761642,0.638317757009346,Replication and Repair,"Replication, recombination and repair",EUR;CHN;USA
1482033,O2.UC52-2_GL0051985,1257,Lack 5'-end,EUR,unknown,unknown,K03553,COG0468,0.079715864246251,0.0831775700934579,Replication and Repair,"Replication, recombination and repair",EUR;CHN;USA
1482339,V1.CD32-0_GL0093494,1257,Complete,EUR,unknown,unknown,K03553,COG0468,0.007103393843725341,0.007476635514018691,Replication and Repair,"Replication, recombination and repair",EUR
1484667,158499257-stool1_revised_C1448272_1_gene206784,1257,Complete,USA,unknown,unknown,K03553,COG0468,0.00236779794790845,0.00186915887850467,Replication and Repair,"Replication, recombination and repair",USA
1494526,MH0086_GL0009494,1251,Complete,EUR,unknown,unknown,K03553,COG0468,0.580899763220205,0.580373831775701,Replication and Repair,"Replication, recombination and repair",EUR;CHN;USA
1501530,160158126-stool1_revised_C340079_1_gene74388,1251,Complete,USA,unknown,unknown,K03553,COG0468,0.41988950276243103,0.4149532710280371,Replication and Repair,"Replication, recombination and repair",USA
1503383,MH0128_GL0043156,1248,Complete,EUR,Firmicutes,Faecalibacterium,K03553,COG0468,0.730071033938437,0.7205607476635509,Replication and Repair,"Replication, recombination and repair",EUR;CHN;USA
1506276,MH0430_GL0144862,1248,Complete,EUR,unknown,unknown,K03553,COG0468,0.0205209155485399,0.0242990654205607,Replication and Repair,"Replication, recombination and repair",EUR
1509753,HT14A_GL0125286,1248,Complete,CHN,unknown,unknown,K03553,COG0468,0.0607734806629834,0.0542056074766355,Replication and Repair,"Replication, recombination and repair",EUR;CHN
